"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Bryan County, Georgia","13029",34883,2444,7748,2701,4630,5485,4685,2205,666,811,2250,1258,17489,1943,4815,1558,1896,2062,1698,941,340,328,1246,662,15184,470,2587,1033,2396,2989,2493,1031,245,441,918,581,752,31,275,93,122,87,76,27,26,15,0,0,1458,0,71,17,216,347,418,206,55,27,86,15
"Butts County, Georgia","13035",23556,1394,3584,2124,3482,3205,3291,1663,595,757,2107,1354,18151,1281,3320,1798,2724,2412,2196,996,442,497,1388,1097,4374,113,255,303,545,512,984,493,114,229,615,211,337,0,0,1,126,89,21,26,34,6,25,9,694,0,9,22,87,192,90,148,5,25,79,37
"Candler County, Georgia","13043",10894,653,2120,893,1271,1430,1277,774,313,344,1152,667,8219,603,1729,700,723,952,919,582,200,293,964,554,2059,35,353,152,430,301,283,139,65,42,174,85,56,0,0,0,0,11,6,30,0,9,0,0,560,15,38,41,118,166,69,23,48,0,14,28
"Camden County, Georgia","13039",52252,3900,9037,6913,8121,5790,6569,3419,1109,1280,4083,2031,17617,2409,4861,1715,1673,1467,1811,1006,340,434,1129,772,31198,1475,3732,4750,5892,3930,4212,1904,747,769,2696,1091,1337,16,320,187,236,157,213,140,9,7,50,2,2100,0,124,261,320,236,333,369,13,70,208,166
"Carroll County, Georgia","13045",114898,7401,20459,15289,15058,14449,14768,7051,2058,3734,9022,5609,78936,6844,17391,11138,9684,8399,8751,4381,1121,2213,5267,3747,30355,479,2644,3569,4280,4428,5205,2290,861,1344,3462,1793,1157,56,171,51,191,293,177,90,22,11,78,17,4450,22,253,531,903,1329,635,290,54,166,215,52
"Crawford County, Georgia","13079",12385,655,1999,950,1394,1457,1938,1194,335,360,1416,687,9318,633,1811,907,1066,902,1383,771,196,305,938,406,2620,22,188,39,188,407,533,358,111,46,467,261,194,0,0,0,39,100,9,18,28,0,0,0,253,0,0,4,101,48,13,47,0,9,11,20
"Early County, Georgia","13099",10405,666,1916,858,1066,1213,1390,557,320,498,1089,832,7913,505,1530,579,693,905,1109,440,246,377,844,685,2207,150,337,277,327,224,218,117,44,121,245,147,20,0,0,0,20,0,0,0,0,0,0,0,265,11,49,2,26,84,63,0,30,0,0,0
"Crisp County, Georgia","13081",23005,1516,4189,2152,2690,2489,2899,1739,572,878,2267,1614,19289,1466,3851,1972,2194,1991,2191,1349,384,773,1701,1417,3018,17,230,165,339,423,618,285,173,90,509,169,65,0,0,0,0,0,8,48,0,0,9,0,633,33,108,15,157,75,82,57,15,15,48,28
"Coffee County, Georgia","13069",43048,2891,7695,4613,5871,5687,5804,2627,940,1339,3524,2057,32495,2666,7198,3548,4024,3752,3782,1883,576,967,2472,1627,7618,205,390,661,1420,1094,1350,596,296,314,933,359,139,0,0,47,0,0,40,9,9,10,0,24,2796,20,107,357,427,841,632,139,59,48,119,47
"Coweta County, Georgia","13077",138015,8695,26484,11450,16715,19343,20954,9105,3329,4281,11275,6384,78913,7794,20181,7433,9076,8832,9782,4098,1425,2099,4771,3422,48791,774,5588,3087,5807,7667,9472,4384,1735,1934,5801,2542,1746,87,129,161,329,243,348,166,27,66,112,78,8565,40,586,769,1503,2601,1352,457,142,182,591,342
