"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Decatur County, Georgia","13087",21967,4054,17913,4854,2176,3705,2688,1938,1299,417,836,15250,2811,12439,3621,1621,2549,1846,1248,864,247,443,6033,970,5063,1136,538,1062,747,614,404,170,392,51,0,51,0,0,25,0,25,0,0,1,633,273,360,97,17,69,95,51,31,0,0
"DeKalb County, Georgia","13089",545943,79097,466846,87810,47205,75666,60661,69627,45417,18147,62313,199417,33304,166113,38500,17723,26877,22732,25542,14700,5136,14903,236255,25192,211063,32363,15990,28294,26645,33085,24748,10969,38969,6805,959,5846,1091,458,698,860,1025,393,292,1029,103466,19642,83824,15856,13034,19797,10424,9975,5576,1750,7412
"Dodge County, Georgia","13091",17694,4977,12717,3255,1918,2180,1813,1852,911,391,397,14457,4037,10420,2662,1636,1640,1548,1483,757,320,374,2925,830,2095,513,282,442,258,369,144,71,16,33,23,10,10,0,0,0,0,0,0,0,279,87,192,70,0,98,7,0,10,0,7
"Dooly County, Georgia","13093",11610,3600,8010,2419,844,1648,1285,668,630,135,381,9459,2609,6850,2207,719,1269,1149,582,527,131,266,1756,870,886,172,120,211,100,80,84,4,115,0,0,0,0,0,0,0,0,0,0,0,395,121,274,40,5,168,36,6,19,0,0
"Dougherty County, Georgia","13095",73987,11215,62772,18107,8058,12011,8536,7093,4144,1318,3505,54114,8330,45784,13752,6101,8994,6405,4824,2861,844,2003,17294,2476,14818,3686,1486,2693,1874,2192,1199,427,1261,546,96,450,152,65,65,118,0,3,12,35,2033,313,1720,517,406,259,139,77,81,35,206
"Douglas County, Georgia","13097",97736,13628,84108,15224,7644,12916,12342,14599,9578,3562,8243,42367,5886,36481,7888,3889,5480,5086,6053,3736,1341,3008,44454,5580,38874,6032,2953,5445,5897,7233,4941,1958,4415,910,109,801,138,3,136,171,130,47,52,124,10005,2053,7952,1166,799,1855,1188,1183,854,211,696
"Early County, Georgia","13099",8841,1395,7446,2331,1115,1463,828,761,403,253,292,6609,1026,5583,1783,924,1080,584,533,299,121,259,2175,350,1825,531,170,383,244,228,104,132,33,7,0,7,7,0,0,0,0,0,0,0,50,19,31,10,21,0,0,0,0,0,0
"Echols County, Georgia","13101",2950,449,2501,742,406,519,427,190,109,37,71,1556,160,1396,501,164,259,198,146,39,37,52,758,98,660,181,112,122,112,44,70,0,19,0,0,0,0,0,0,0,0,0,0,0,636,191,445,60,130,138,117,0,0,0,0
"Effingham County, Georgia","13103",38560,5549,33011,6666,3142,5053,4449,5330,4030,1525,2816,24059,3891,20168,4693,1999,2999,2755,3085,2219,929,1489,13086,1429,11657,1865,990,1847,1446,1948,1735,580,1246,426,66,360,33,3,74,59,126,28,8,29,989,163,826,75,150,133,189,171,48,8,52
"Elbert County, Georgia","13105",16492,2456,14036,3545,2240,3069,2178,1608,707,291,398,11784,1571,10213,2599,1640,2224,1499,1210,531,195,315,4046,665,3381,880,508,761,526,389,138,96,83,73,0,73,14,28,24,7,0,0,0,0,589,220,369,52,64,60,146,9,38,0,0
