"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Washington Township School District (Gloucester County), New Jersey","3417070",39568,4209,35359,5961,2752,4449,3913,4950,4556,1991,6787,15182,1923,13259,2916,1005,1560,1618,1827,1452,607,2274,21355,1819,19536,2643,1560,2637,1947,2780,2706,1248,4015,448,75,373,18,13,22,107,78,97,15,23,2583,392,2191,384,174,230,241,265,301,121,475
"Robbinsville Township School District, New Jersey","3417100",10382,1311,9071,1373,288,899,638,906,785,409,3773,5033,546,4487,762,168,520,369,454,479,223,1512,3091,333,2758,280,95,252,137,317,227,129,1321,34,7,27,0,0,0,0,0,0,0,27,2224,425,1799,331,25,127,132,135,79,57,913
"Waterford Township School District, New Jersey","3417250",8579,938,7641,1304,679,818,998,1119,1062,471,1190,5276,609,4667,853,411,544,531,701,655,266,706,3021,281,2740,428,221,240,428,393,389,205,436,42,0,42,0,0,0,9,0,0,0,33,240,48,192,23,47,34,30,25,18,0,15
"Wayne Township School District, New Jersey","3417280",45492,6026,39466,7320,3037,4030,3458,4085,4089,2287,11160,25501,3600,21901,4875,1680,2260,1754,2024,2259,1303,5746,9538,995,8543,1309,506,731,834,1066,862,459,2776,545,112,433,76,74,60,72,55,0,30,66,9908,1319,8589,1060,777,979,798,940,968,495,2572
"Weehawken Township School District, New Jersey","3417310",11136,1202,9934,1467,634,1280,1063,1565,951,716,2258,2954,289,2665,422,118,303,229,421,432,198,542,3061,214,2847,280,84,323,223,468,301,265,903,445,77,368,45,77,64,14,97,0,16,55,4676,622,4054,720,355,590,597,579,218,237,758
"West Deptford Township School District, New Jersey","3417430",18115,1821,16294,2691,1260,2037,1821,2485,2078,1263,2659,10181,1098,9083,1558,647,1144,1009,1407,1108,685,1525,6638,461,6177,884,561,757,646,952,783,533,1061,188,20,168,65,10,7,22,28,13,0,23,1108,242,866,184,42,129,144,98,174,45,50
"West Milford Township School District, New Jersey","3417520",20865,2043,18822,2910,1421,1931,1968,2449,2716,1127,4300,12911,1374,11537,1950,885,1133,1275,1547,1563,717,2467,6311,477,5834,767,483,579,528,747,941,294,1495,115,29,86,29,0,0,8,0,20,7,22,1528,163,1365,164,53,219,157,155,192,109,316
"West New York Town School District, New Jersey","3417580",40603,5786,34817,7572,4575,7044,4456,4096,2765,835,3474,5970,1240,4730,1301,532,786,428,533,418,109,623,4480,482,3998,433,222,474,510,382,751,320,906,1479,42,1437,362,163,243,319,158,21,0,171,28674,4022,24652,5476,3658,5541,3199,3023,1575,406,1774
"West Orange Town School District, New Jersey","3417610",37017,4899,32118,4678,2884,4006,3496,3682,3634,1825,7913,15074,2235,12839,2236,942,1316,1462,1607,1569,719,2988,9125,909,8216,776,556,897,688,651,939,589,3120,455,43,412,114,17,55,25,94,12,41,54,12363,1712,10651,1552,1369,1738,1321,1330,1114,476,1751
"West Wildwood Borough School District, New Jersey","3417670",458,26,432,63,86,76,55,70,28,20,34,94,11,83,11,22,28,5,8,0,0,9,357,15,342,47,62,48,50,62,28,20,25,3,0,3,3,0,0,0,0,0,0,0,4,0,4,2,2,0,0,0,0,0,0
