"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Cherokee County, South Carolina","45021",55863,3510,9842,5610,6420,7310,7835,3852,1387,1909,4927,3261,40211,3048,7874,4300,4390,4755,5404,2391,877,1182,3520,2470,14222,462,1879,1110,1762,2118,2183,1401,481,697,1345,784,285,0,32,37,61,21,111,23,0,0,0,0,1145,0,57,163,207,416,137,37,29,30,62,7
"Chester County, South Carolina","45023",32556,2022,5499,2996,3368,3826,4787,2514,808,1427,3217,2092,24715,1787,4643,2550,2535,2682,3288,1734,617,1016,2149,1714,7555,235,841,446,815,1138,1436,768,191,385,928,372,63,0,15,0,0,0,34,1,0,4,9,0,223,0,0,0,18,6,29,11,0,22,131,6
"Chesterfield County, South Carolina","45025",46192,2717,8094,4166,4986,5963,6852,3500,1011,1816,4365,2722,30534,2057,5874,2379,2839,3481,4351,2397,660,1267,3218,2011,14315,660,2075,1609,1811,2186,2251,1082,351,507,1089,694,89,0,0,19,36,21,1,0,0,0,12,0,1254,0,145,159,300,275,249,21,0,42,46,17
"Clarendon County, South Carolina","45027",34178,1782,5349,3478,3672,3595,4607,2318,1321,1513,4055,2488,26030,1650,4623,2664,2904,2750,3200,1579,967,1113,2894,1686,7495,132,691,755,651,728,1247,682,306,397,1135,771,137,0,0,0,20,15,28,10,48,0,10,6,516,0,35,59,97,102,132,47,0,3,16,25
"Colleton County, South Carolina","45029",38004,2350,6468,3236,4107,4277,5299,2839,994,1617,4105,2712,28959,2154,5692,2607,3191,3195,3635,1885,689,1127,2777,2007,8204,196,729,334,774,908,1598,924,286,477,1292,686,152,0,19,62,0,15,39,17,0,0,0,0,689,0,28,233,142,159,27,13,19,13,36,19
"Darlington County, South Carolina","45031",67922,4029,11778,6316,7311,8379,9432,4992,2322,2581,6519,4263,53813,3796,10486,5038,5571,6145,6835,3751,1757,1977,5078,3379,12549,201,1158,1060,1476,1980,2394,1130,490,508,1412,740,345,32,31,26,12,111,27,41,21,19,9,16,1215,0,103,192,252,143,176,70,54,77,20,128
"Dillon County, South Carolina","45033",31435,2194,5975,2858,3808,3749,4206,2188,886,993,2704,1874,25261,2097,5016,2338,3037,2679,3164,1782,733,815,2103,1497,5152,57,762,437,475,771,981,361,153,177,601,377,85,0,0,13,0,31,0,41,0,0,0,0,937,40,197,70,296,268,61,4,0,1,0,0
"Dorchester County, South Carolina","45035",145715,9610,28278,12639,20222,20138,21511,8967,3460,4713,10330,5847,72739,8061,18912,6895,9796,7851,7825,3236,1224,1929,4128,2882,63128,1485,8578,4873,8746,10041,11812,5178,1937,2570,5484,2424,3094,64,448,431,697,368,548,204,21,25,191,97,6754,0,340,440,983,1878,1326,349,278,189,527,444
"Edgefield County, South Carolina","45037",26466,1137,4095,2254,3388,3656,4018,1796,888,1246,2498,1490,11889,547,1915,1035,1350,1303,1639,812,428,608,1308,944,13167,590,2135,1169,1579,1903,2194,917,460,579,1134,507,249,0,10,0,71,74,60,18,0,4,12,0,1161,0,35,50,388,376,125,49,0,55,44,39
"Fairfield County, South Carolina","45039",23108,1172,3693,1886,2256,2819,3584,1794,848,1161,2391,1504,18767,1040,3270,1718,1736,2112,2732,1470,685,944,1832,1228,3704,132,383,87,345,600,649,303,163,217,549,276,124,0,0,49,19,11,15,21,0,0,9,0,513,0,40,32,156,96,188,0,0,0,1,0
"Florence County, South Carolina","45041",138330,9054,24531,13182,17319,17511,18628,9267,3481,5456,11969,7932,103827,8589,20891,9975,12895,11745,12254,6331,2617,3872,8816,5842,30148,443,3287,2814,3431,4861,5728,2541,771,1366,2902,2004,820,10,55,108,250,148,134,75,7,26,7,0,3535,12,298,285,743,757,512,320,86,192,244,86
"Georgetown County, South Carolina","45043",60572,3051,9275,4254,5766,6326,7949,4934,1647,3331,8797,5242,36997,2801,6999,3255,3616,3396,4763,3194,885,1701,3975,2412,21596,250,2112,983,1671,2688,2805,1683,749,1418,4534,2703,475,0,30,0,152,48,174,5,0,21,24,21,1504,0,134,16,327,194,207,52,13,191,264,106
"Greenville County, South Carolina","45045",474903,31149,81246,44645,64086,63763,66136,31737,10785,15481,38786,27089,253651,27240,57580,23652,30461,27656,27530,14428,5001,7451,18373,14279,178399,3348,20435,16905,24094,26711,30984,14589,5044,7026,17749,11514,5040,146,448,749,899,828,1071,330,132,100,221,116,37813,415,2783,3339,8632,8568,6551,2390,608,904,2443,1180
"Greenwood County, South Carolina","45047",69771,4606,11678,7242,8389,8448,9374,4527,1776,2300,6305,5126,51407,4236,10004,5614,6098,5562,6307,3352,1132,1669,4078,3355,15297,340,1474,1254,1710,2152,2506,1103,530,496,2110,1622,572,15,59,26,33,190,47,21,24,89,7,61,2495,15,141,348,548,544,514,51,90,46,110,88
"Hampton County, South Carolina","45049",20473,1150,3496,1892,2518,2680,2857,1282,651,809,1915,1223,16097,1027,3205,1512,1709,1786,2215,1024,553,608,1468,990,3936,123,279,371,710,735,557,216,98,197,417,233,93,0,0,0,32,9,39,9,0,4,0,0,347,0,12,9,67,150,46,33,0,0,30,0
"Horry County, South Carolina","45051",290730,15555,41243,25012,35619,34755,38506,19943,8901,14225,36604,20367,111813,13404,26672,11013,12755,11098,11430,6207,2763,3584,7912,4975,157505,2096,13210,12293,17405,19159,23875,12596,5622,9997,26780,14472,3210,14,419,327,857,354,536,177,125,110,199,92,18202,41,942,1379,4602,4144,2665,963,391,534,1713,828
"Jasper County, South Carolina","45053",26549,1702,4222,3111,3591,3254,3338,1838,731,988,2415,1359,14160,1375,2900,1873,1338,1380,1800,772,344,407,1082,889,9950,327,1194,1068,1493,1140,1319,918,247,528,1304,412,51,0,0,0,17,8,15,3,0,8,0,0,2388,0,128,170,743,726,204,145,140,45,29,58
"Kershaw County, South Carolina","45055",62722,3850,11098,5035,6929,7680,9119,4484,1975,2579,5941,4032,41365,3423,9022,3428,4633,4080,5107,2564,1090,1685,3628,2705,19230,328,1869,1561,2073,3187,3511,1668,850,850,2157,1176,645,48,162,35,54,37,217,52,0,11,29,0,1482,51,45,11,169,376,284,200,35,33,127,151
"Lancaster County, South Carolina","45057",81263,4825,13276,6335,9510,10659,11199,5364,1825,3512,9212,5546,45601,3015,7935,4135,5144,5949,6017,2981,1159,1940,4484,2842,32072,1780,4949,1899,3730,4068,4672,2117,608,1474,4469,2306,918,30,150,39,111,87,59,167,27,12,12,224,2672,0,242,262,525,555,451,99,31,86,247,174
"Laurens County, South Carolina","45059",66389,3993,10966,6655,7366,7920,9511,4539,1834,2856,6277,4472,50877,3859,9934,4920,5450,5609,6862,3127,1208,2021,4589,3298,13396,134,894,1470,1367,1840,2259,1245,616,801,1623,1147,501,0,30,63,87,80,89,84,10,9,34,15,1615,0,108,202,462,391,301,83,0,25,31,12
