"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Joint Base McGuire-Dix-Lakehurst, New Jersey","3434001",13555,1283,2094,1765,3489,2929,1157,440,81,115,189,13,2102,682,265,234,438,247,181,39,0,3,13,0,9282,495,1636,1384,2562,2078,630,244,47,76,117,13,838,106,169,53,191,185,56,42,0,23,13,0,1333,0,24,94,298,419,290,115,34,13,46,0
"Remainder of New Jersey, New Jersey","3499999",1639384,80235,281008,137274,165077,194957,270954,128156,45382,61221,152829,122291,952581,70310,223040,101054,99836,99023,131866,60718,21313,27464,64958,52999,471565,8696,46290,24400,38156,54298,92761,48470,17683,24697,64022,52092,21766,464,2201,1870,2127,2948,4057,2313,742,916,2339,1789,193472,765,9477,9950,24958,38688,42270,16655,5644,8144,21510,15411
"The Chathams School District, New Jersey","3400004",19558,1089,4847,993,1234,2923,3609,1305,288,592,1411,1267,8784,789,2993,543,472,944,1237,418,120,248,475,545,7541,247,1570,361,405,1407,1403,614,112,243,649,530,280,37,20,18,20,33,70,37,0,6,0,39,2953,16,264,71,337,539,899,236,56,95,287,153
"Great Meadows Regional School District, New Jersey","3400008",8413,310,1263,765,1018,939,1612,820,231,344,657,454,5519,258,1129,517,481,623,1006,534,118,247,352,254,2043,52,90,164,454,154,487,133,69,81,215,144,73,0,12,0,0,0,6,0,19,0,19,17,778,0,32,84,83,162,113,153,25,16,71,39
"Somerset Hills Regional School District, New Jersey","3400009",11355,713,2292,661,1119,1535,1768,710,276,547,1055,679,6139,678,1711,364,495,680,713,244,119,264,562,309,3242,21,426,20,176,462,807,319,129,201,382,299,135,11,0,0,0,66,19,30,0,0,9,0,1839,3,155,277,448,327,229,117,28,82,102,71
"Absecon City School District, New Jersey","3400660",8438,445,1214,642,975,838,1324,654,328,300,958,760,5286,437,976,490,703,487,686,347,189,116,487,368,2010,0,125,80,154,154,352,205,118,147,353,322,206,0,23,8,18,18,73,21,0,9,19,17,936,8,90,64,100,179,213,81,21,28,99,53
"Allamuchy Township School District, New Jersey","3400720",4519,175,656,263,461,639,786,369,73,170,648,279,2850,175,575,235,378,330,501,152,16,78,350,60,1252,0,61,28,73,202,194,167,50,66,221,190,47,0,0,0,0,0,0,0,0,9,29,9,370,0,20,0,10,107,91,50,7,17,48,20
"South Hunterdon Regional School District, New Jersey","3400769",7244,258,813,457,724,887,1102,854,295,433,947,474,3926,244,640,312,438,462,519,421,122,68,409,291,2818,14,133,117,242,367,476,376,169,285,479,160,124,0,2,17,3,23,5,30,0,39,5,0,376,0,38,11,41,35,102,27,4,41,54,23
"Allenhurst Borough School District, New Jersey","3400780",496,7,69,22,70,44,93,29,18,25,66,53,338,3,34,20,49,28,61,25,15,19,51,33,138,4,29,2,13,16,32,4,3,6,11,18,6,0,6,0,0,0,0,0,0,0,0,0,14,0,0,0,8,0,0,0,0,0,4,2
"Alloway Township School District, New Jersey","3400810",3387,201,579,216,363,414,655,249,78,151,259,222,2391,129,473,156,209,256,518,129,59,110,216,136,876,72,92,60,145,158,88,92,14,41,28,86,28,0,0,0,0,0,23,0,5,0,0,0,92,0,14,0,9,0,26,28,0,0,15,0
