"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Wayne Township School District, New Jersey","3417280",52079,2230,2046,47803,32476,1284,1002,30190,8952,298,214,8440,460,39,0,421,10191,609,830,8752
"Weehawken Township School District, New Jersey","3417310",13661,1413,586,11662,4370,380,133,3857,3909,375,40,3494,284,26,15,243,5098,632,398,4068
"West Deptford Township School District, New Jersey","3417430",21289,1234,1125,18930,13175,767,667,11741,7003,449,363,6191,103,0,6,97,1008,18,89,901
"West Milford Township School District, New Jersey","3417520",26364,1177,577,24610,18595,879,257,17459,5940,201,282,5457,148,0,0,148,1681,97,38,1546
"West New York Town School District, New Jersey","3417580",52231,11454,6030,34747,13518,3478,1769,8271,5891,681,412,4798,1665,326,188,1151,31157,6969,3661,20527
"West Orange Town School District, New Jersey","3417610",46131,3301,2220,40610,22203,1506,960,19737,10166,600,310,9256,478,83,0,395,13284,1112,950,11222
"West Wildwood Borough School District, New Jersey","3417670",497,43,57,397,146,19,39,88,345,24,18,303,1,0,0,1,5,0,0,5
"West Windsor-Plainsboro Regional School District, New Jersey","3417700",50999,1824,1011,48164,14287,699,283,13305,14019,451,173,13395,444,0,6,438,22249,674,549,21026
"Westfield Town School District, New Jersey","3417760",30238,675,317,29246,15202,296,145,14761,10882,214,111,10557,502,4,5,493,3652,161,56,3435
"Westwood Regional School District, New Jersey","3417820",20405,946,792,18667,10984,249,342,10393,5429,171,25,5233,163,0,57,106,3829,526,368,2935
"Weymouth Township School District, New Jersey","3417850",2735,257,103,2375,1649,147,53,1449,871,80,50,741,42,0,0,42,173,30,0,143
"White Township School District, New Jersey","3417910",4590,150,228,4212,2896,87,148,2661,1476,49,68,1359,19,6,0,13,199,8,12,179
"Wildwood City School District, New Jersey","3417940",5192,1418,1143,2631,2111,702,316,1093,1996,306,424,1266,540,276,153,111,545,134,250,161
"Wildwood Crest Borough School District, New Jersey","3417970",3210,109,88,3013,1234,37,54,1143,1660,63,27,1570,71,9,0,62,245,0,7,238
"Willingboro Township School District, New Jersey","3418000",31195,3009,2317,25869,13790,1871,834,11085,12361,698,1175,10488,737,84,49,604,4307,356,259,3692
"Winfield Township School District, New Jersey","3418030",1540,152,144,1244,1312,97,136,1079,164,49,4,111,9,3,0,6,55,3,4,48
"Winslow Township School District, New Jersey","3418060",38663,3417,2579,32667,22161,2262,1727,18172,12788,708,615,11465,546,123,12,411,3168,324,225,2619
"Woodbine Borough School District, New Jersey","3418090",2681,802,480,1399,1773,531,338,904,625,220,73,332,210,39,69,102,73,12,0,61
"Woodbridge Township School District, New Jersey","3418120",96358,5906,5298,85154,50008,2740,2375,44893,13796,1056,751,11989,1962,250,139,1573,30592,1860,2033,26699
"Woodbury City School District, New Jersey","3418150",9911,2007,730,7174,5973,1376,398,4199,3132,469,191,2472,98,16,7,75,708,146,134,428
"Woodlynne Borough School District, New Jersey","3418270",2952,828,420,1704,1416,576,188,652,427,76,21,330,272,67,28,177,837,109,183,545
"Wood-Ridge Borough School District, New Jersey","3418300",8109,398,342,7369,5376,270,191,4915,1214,42,124,1048,59,0,0,59,1460,86,27,1347
"Woodstown-Pilesgrove Regional School District, New Jersey","3418330",7564,896,375,6293,4372,436,248,3688,2851,386,114,2351,58,3,0,55,283,71,13,199
"Joint Base McGuire-Dix-Lakehurst, New Jersey","3434001",7711,477,1008,6226,1290,149,222,919,5444,275,704,4465,449,17,46,386,528,36,36,456
"Remainder of New Jersey, New Jersey","3499999",1611684,96501,73175,1442008,934838,55912,41857,837069,463607,22694,16493,424420,21112,1860,1187,18065,192127,16035,13638,162454
"The Chathams School District, New Jersey","3400004",19425,408,400,18617,8709,151,93,8465,7499,134,84,7281,277,9,0,268,2940,114,223,2603
"Great Meadows Regional School District, New Jersey","3400008",8356,446,311,7599,5478,294,144,5040,2027,134,137,1756,73,0,0,73,778,18,30,730
"Somerset Hills Regional School District, New Jersey","3400009",11149,265,378,10506,5945,135,145,5665,3230,79,40,3111,135,3,35,97,1839,48,158,1633
"Absecon City School District, New Jersey","3400660",8284,507,526,7251,5179,341,368,4470,1963,64,19,1880,206,9,16,181,936,93,123,720
"Allamuchy Township School District, New Jersey","3400720",4519,141,63,4315,2850,106,48,2696,1252,35,15,1202,47,0,0,47,370,0,0,370
"South Hunterdon Regional School District, New Jersey","3400769",7190,378,404,6408,3872,238,304,3330,2818,123,85,2610,124,0,5,119,376,17,10,349
"Allenhurst Borough School District, New Jersey","3400780",496,14,28,454,338,6,25,307,138,0,3,135,6,0,0,6,14,8,0,6
"Alloway Township School District, New Jersey","3400810",3303,166,141,2996,2325,141,96,2088,858,12,45,801,28,0,0,28,92,13,0,79
"Alpha Borough School District, New Jersey","3400840",2227,189,56,1982,1499,101,31,1367,602,73,23,506,44,4,2,38,82,11,0,71
"Alpine Borough School District, New Jersey","3400870",1522,156,56,1310,461,105,26,330,509,26,12,471,10,0,0,10,542,25,18,499
"Andover Regional School District, New Jersey","3400900",6145,307,379,5459,4185,169,202,3814,1480,116,110,1254,60,0,28,32,420,22,39,359
"Asbury Park City School District, New Jersey","3400930",15814,4837,2228,8749,9138,3249,1166,4723,2798,657,352,1789,262,61,6,195,3616,870,704,2042
"Atlantic City School District, New Jersey","3400960",39024,14298,5784,18942,18212,8077,2449,7686,6720,1842,1024,3854,1429,654,200,575,12663,3725,2111,6827
"Audubon Borough School District, New Jersey","3401050",9713,512,433,8768,6454,433,255,5766,3041,61,178,2802,65,18,0,47,153,0,0,153
"Avalon Borough School District, New Jersey","3401110",1421,62,35,1324,347,9,4,334,1020,52,31,937,8,1,0,7,46,0,0,46
"Avon-by-the-Sea Borough School District, New Jersey","3401140",1846,49,84,1713,1322,19,46,1257,472,23,38,411,26,6,0,20,26,1,0,25
"Barrington Borough School District, New Jersey","3401170",6707,392,629,5686,4001,220,406,3375,2376,132,223,2021,66,7,0,59,264,33,0,231
"Bay Head Borough School District, New Jersey","3401230",1054,76,47,931,695,53,27,615,310,19,17,274,5,0,0,5,44,4,3,37
"Bayonne City School District, New Jersey","3401260",65699,10177,6786,48736,35705,5373,3358,26974,8421,1213,779,6429,1942,382,186,1374,19631,3209,2463,13959
"Bedminster Township School District, New Jersey","3401320",8149,460,225,7464,4222,262,189,3771,2576,90,33,2453,51,16,0,35,1300,92,3,1205
"Belleville Town School District, New Jersey","3401350",36038,3505,3165,29368,19235,2007,1734,15494,4049,424,334,3291,1479,146,107,1226,11275,928,990,9357
"Belmar Borough School District, New Jersey","3401410",5705,650,427,4628,3803,403,250,3150,1111,75,54,982,32,0,0,32,759,172,123,464
"Belvidere Town School District, New Jersey","3401440",2621,184,228,2209,1672,87,146,1439,791,65,71,655,33,15,0,18,125,17,11,97
