"","GEOID","B07010_001","B07010_002","B07010_003","B07010_004","B07010_005","B07010_006","B07010_007","B07010_008","B07010_009","B07010_010","B07010_011","B07010_012","B07010_013","B07010_014","B07010_015","B07010_016","B07010_017","B07010_018","B07010_019","B07010_020","B07010_021","B07010_022","B07010_023","B07010_024","B07010_025","B07010_026","B07010_027","B07010_028","B07010_029","B07010_030","B07010_031","B07010_032","B07010_033","B07010_034","B07010_035","B07010_036","B07010_037","B07010_038","B07010_039","B07010_040","B07010_041","B07010_042","B07010_043","B07010_044","B07010_045","B07010_046","B07010_047","B07010_048","B07010_049","B07010_050","B07010_051","B07010_052","B07010_053","B07010_054","B07010_055","B07010_056","B07010_057","B07010_058","B07010_059","B07010_060","B07010_061","B07010_062","B07010_063","B07010_064","B07010_065","B07010_066"
"Oconee County, South Carolina","45073",63217,7334,55883,11424,7962,10363,7793,6903,4196,1824,5418,54700,6210,48490,8895,6911,9169,6730,6406,3709,1691,4979,4362,626,3736,1040,640,805,583,243,200,103,122,2197,296,1901,949,225,206,228,59,146,10,78,1856,186,1670,513,186,170,234,195,113,20,239,102,16,86,27,0,13,18,0,28,0,0
"Barnwell County, South Carolina","45011",17357,3069,14288,3457,2310,2478,1842,1731,1167,463,840,15413,2509,12904,2924,2095,2353,1656,1541,1096,403,836,1023,346,677,256,72,56,92,107,52,40,2,477,128,349,77,93,47,59,73,0,0,0,412,84,328,200,36,13,35,10,19,13,2,32,2,30,0,14,9,0,0,0,7,0
"Berkeley County, South Carolina","45015",162928,22840,140088,23364,13799,24738,20908,21373,14789,5711,15406,136897,19278,117619,19354,11214,20225,17378,18471,12456,4996,13525,9214,1327,7887,1427,903,1690,1216,1086,738,300,527,7373,1184,6189,1035,687,937,1046,845,820,223,596,8782,930,7852,1397,938,1843,1207,871,728,168,700,662,121,541,151,57,43,61,100,47,24,58
"Charleston County, South Carolina","45019",321836,37390,284446,49445,25512,44847,36048,40868,30095,11427,46204,267417,30801,236616,38442,21348,37409,29851,33875,25601,9681,40409,30092,3275,26817,5878,2556,4140,3625,4279,2635,907,2797,9879,1443,8436,2325,741,1395,1316,1257,622,225,555,13177,1349,11828,2659,781,1731,1147,1396,1213,597,2304,1271,522,749,141,86,172,109,61,24,17,139
"Darlington County, South Carolina","45031",54913,8022,46891,10983,6692,9472,6131,6046,3284,1142,3141,48643,6766,41877,9472,5661,8502,5460,5593,3123,1072,2994,3288,547,2741,782,772,548,295,264,11,31,38,2142,515,1627,532,181,310,306,140,116,17,25,794,194,600,197,78,106,62,49,30,7,71,46,0,46,0,0,6,8,0,4,15,13
"Georgetown County, South Carolina","45043",51425,6022,45403,9086,6177,8499,5282,6537,3216,1565,5041,45857,5502,40355,8130,5339,7613,4748,5747,2897,1390,4491,2530,189,2341,543,452,379,210,325,195,95,142,1434,179,1255,236,209,268,157,162,50,38,135,1552,138,1414,168,177,226,151,303,74,42,273,52,14,38,9,0,13,16,0,0,0,0
"Marlboro County, South Carolina","45069",23020,5383,17637,4470,2802,3652,2632,2201,912,384,584,20506,4672,15834,3907,2554,3317,2297,2013,873,342,531,1211,177,1034,266,212,168,282,74,0,0,32,722,288,434,177,12,72,20,89,31,33,0,531,220,311,102,24,95,33,19,8,9,21,50,26,24,18,0,0,0,6,0,0,0
"York County, South Carolina","45091",200316,25863,174453,31281,17010,26907,22703,25111,18122,7199,26120,171431,22053,149378,25476,15067,23116,19017,21635,16272,6289,22506,14893,1603,13290,3093,1272,2202,2083,1776,937,477,1450,4788,746,4042,1457,158,676,737,429,183,28,374,8485,1181,7304,1152,407,913,848,1209,676,381,1718,719,280,439,103,106,0,18,62,54,24,72
"Anderson County, South Carolina","45007",157056,19633,137423,26792,17386,25225,19989,19406,12171,4721,11733,136396,16696,119700,22398,14964,21965,17031,17374,11142,4338,10488,11821,1445,10376,2371,1129,2242,2015,1315,655,164,485,4938,573,4365,1453,589,406,637,542,242,157,339,3476,727,2749,526,678,573,252,159,110,62,389,425,192,233,44,26,39,54,16,22,0,32
"Cherokee County, South Carolina","45021",45559,8066,37493,8216,5360,7769,5183,4944,2945,1030,2046,40631,7020,33611,7161,4829,6839,4648,4390,2786,1010,1948,2877,601,2276,638,221,509,307,395,143,13,50,1243,226,1017,234,137,316,182,118,13,7,10,710,212,498,137,173,91,27,29,3,0,38,98,7,91,46,0,14,19,12,0,0,0
"Chesterfield County, South Carolina","45025",37656,6014,31642,6785,4684,6937,4579,4281,2216,689,1471,33838,5439,28399,6012,4367,6006,3933,3987,2045,664,1385,1993,176,1817,502,134,417,399,253,60,25,27,1102,225,877,139,136,377,152,2,71,0,0,634,138,496,119,47,120,86,39,26,0,59,89,36,53,13,0,17,9,0,14,0,0
