"","GEOID","B07001_001","B07001_002","B07001_003","B07001_004","B07001_005","B07001_006","B07001_007","B07001_008","B07001_009","B07001_010","B07001_011","B07001_012","B07001_013","B07001_014","B07001_015","B07001_016","B07001_017","B07001_018","B07001_019","B07001_020","B07001_021","B07001_022","B07001_023","B07001_024","B07001_025","B07001_026","B07001_027","B07001_028","B07001_029","B07001_030","B07001_031","B07001_032","B07001_033","B07001_034","B07001_035","B07001_036","B07001_037","B07001_038","B07001_039","B07001_040","B07001_041","B07001_042","B07001_043","B07001_044","B07001_045","B07001_046","B07001_047","B07001_048","B07001_049","B07001_050","B07001_051","B07001_052","B07001_053","B07001_054","B07001_055","B07001_056","B07001_057","B07001_058","B07001_059","B07001_060","B07001_061","B07001_062","B07001_063","B07001_064","B07001_065","B07001_066","B07001_067","B07001_068","B07001_069","B07001_070","B07001_071","B07001_072","B07001_073","B07001_074","B07001_075","B07001_076","B07001_077","B07001_078","B07001_079","B07001_080","B07001_081","B07001_082","B07001_083","B07001_084","B07001_085","B07001_086","B07001_087","B07001_088","B07001_089","B07001_090","B07001_091","B07001_092","B07001_093","B07001_094","B07001_095","B07001_096"
"Barnwell County, South Carolina","45011",21522,1174,3938,514,1510,1154,1137,1062,1403,1329,1619,1683,1372,1186,1037,1404,18750,967,3140,511,1164,902,933,818,1186,1189,1510,1563,1309,1176,1008,1374,1493,155,417,0,219,171,43,54,197,75,51,35,41,7,18,10,667,0,199,0,104,79,88,73,0,56,38,8,0,1,1,20,577,49,182,3,23,0,73,117,13,0,6,77,22,2,10,0,35,3,0,0,0,2,0,0,7,9,14,0,0,0,0,0
"Berkeley County, South Carolina","45015",201889,10857,36064,5356,14989,15264,14688,13687,13205,13266,13909,13477,11152,10455,6607,8913,168913,8439,30423,3689,9689,10772,11787,11506,11379,11837,12588,12193,10189,9787,6329,8306,12746,1117,2804,280,1488,1695,1418,908,606,482,510,544,319,291,99,185,9087,602,1502,242,1184,1621,791,704,651,512,502,326,198,71,75,106,10435,685,1276,1120,2565,1126,629,522,465,402,298,349,385,279,68,266,708,14,59,25,63,50,63,47,104,33,11,65,61,27,36,50
"Charleston County, South Carolina","45019",382933,18571,54229,10068,27098,35254,31600,25868,22735,23412,25784,26241,24055,21139,14675,22204,320011,15331,47769,6169,17330,23379,25303,22054,19644,20641,22818,23505,22149,19504,13937,20478,35447,2034,4166,1166,5089,6682,3505,2401,1789,1788,1789,1661,1087,653,455,1182,11408,680,1025,1501,2291,1798,1197,598,364,304,451,432,223,249,70,225,14647,476,1141,1110,2179,3059,1406,776,825,615,658,634,564,701,204,299,1420,50,128,122,209,336,189,39,113,64,68,9,32,32,9,20
"Darlington County, South Carolina","45031",66802,3176,11472,1662,4429,3988,3536,3696,4350,4340,4805,5144,4626,4096,2967,4515,58759,2419,10086,1206,3112,3159,3066,3245,3914,3961,4322,4828,4425,3905,2868,4243,4244,372,812,78,880,410,211,192,254,224,271,144,124,89,43,140,2871,355,516,200,388,307,218,170,159,155,174,84,27,23,18,77,882,30,58,178,49,112,41,76,17,0,38,88,35,71,34,55,46,0,0,0,0,0,0,13,6,0,0,0,15,8,4,0
"Georgetown County, South Carolina","45043",60599,2462,9037,1306,3004,2861,2832,3163,3131,3559,4118,4642,5121,5591,4078,5694,53528,1972,7877,1219,2532,2272,2226,2738,2897,3223,3511,4104,4802,5185,3748,5222,3390,348,612,76,363,264,344,235,141,105,239,149,67,158,101,188,1969,126,425,4,58,211,190,144,62,122,110,173,79,80,43,142,1660,16,111,7,51,114,70,46,31,100,258,200,173,155,186,142,52,0,12,0,0,0,2,0,0,9,0,16,0,13,0,0
"Marlboro County, South Carolina","45069",27199,1154,4111,597,1734,1892,1984,2002,1717,1819,2053,1763,1837,1920,965,1651,24234,867,3936,525,1212,1433,1716,1707,1485,1709,1884,1679,1696,1825,938,1622,1547,241,102,41,355,166,88,142,77,57,122,2,81,34,16,23,777,44,12,25,77,160,133,106,71,27,25,65,1,14,11,6,579,2,46,6,73,114,47,47,84,23,20,17,53,47,0,0,62,0,15,0,17,19,0,0,0,3,2,0,6,0,0,0
"York County, South Carolina","45091",248659,12783,46232,6575,15331,15327,15763,16619,18336,18495,18147,16054,15363,13196,7924,12514,211599,10041,39558,5193,10543,11336,12472,14020,15782,16333,16127,14736,13899,12345,7603,11611,19218,1310,3820,665,2737,2013,1627,1149,1262,1130,988,588,699,494,181,555,6074,498,971,564,1217,894,604,221,422,212,147,94,50,73,25,82,10933,851,1842,139,713,965,969,1137,840,797,853,586,643,250,82,266,835,83,41,14,121,119,91,92,30,23,32,50,72,34,33,0
"Anderson County, South Carolina","45007",191882,9227,33537,4681,11703,11643,11143,11584,12115,13033,13956,13428,12387,10892,8900,13653,166262,7284,29511,3603,8182,8748,9064,10079,10402,11368,12581,12424,11656,10142,8622,12596,14776,1291,2243,432,1880,1916,1133,806,1060,1023,885,537,361,411,194,604,6091,383,975,550,1047,553,490,437,334,393,228,235,213,58,33,162,4213,175,783,96,590,341,335,262,266,221,230,184,137,266,36,291,540,94,25,0,4,85,121,0,53,28,32,48,20,15,15,0
"Cherokee County, South Carolina","45021",55925,2710,9988,1700,3813,3711,3151,3230,3742,3855,3949,3813,3417,2942,2353,3551,49785,2276,9034,1296,2838,2915,2727,2854,3448,3588,3697,3580,3139,2783,2275,3335,3886,371,758,192,559,619,354,165,133,181,107,60,170,45,51,121,1403,41,175,87,245,129,67,189,43,42,52,104,21,114,0,94,753,22,21,116,125,48,3,22,118,44,93,52,75,0,13,1,98,0,0,9,46,0,0,0,0,0,0,17,12,0,14,0
"Chesterfield County, South Carolina","45025",45723,2221,7842,1040,2941,2623,2570,2306,3306,3290,3480,3498,2934,2736,2066,2870,40997,1926,7053,878,2513,2209,2109,1922,2939,3029,3174,3203,2734,2607,1965,2736,2610,123,523,123,275,186,181,273,166,145,254,213,41,76,0,31,1275,66,252,29,97,72,186,76,176,61,15,26,137,18,49,15,752,106,14,10,51,156,86,35,25,41,37,56,22,26,33,54,89,0,0,0,5,0,8,0,0,14,0,0,0,9,19,34
"Greenwood County, South Carolina","45047",69422,3810,11700,2071,4768,4527,4073,4093,4164,4596,4638,4713,4084,4160,2629,5396,59322,2825,9877,1450,3321,3332,3264,3652,3653,4093,4302,4249,3711,4077,2478,5038,5817,719,1183,260,811,683,375,227,238,298,190,233,155,44,70,331,2595,226,352,290,465,382,222,171,100,60,108,94,97,0,15,13,1624,40,288,71,171,130,212,26,135,136,38,137,121,39,66,14,64,0,0,0,0,0,0,17,38,9,0,0,0,0,0,0
"Jasper County, South Carolina","45053",27158,1344,4201,901,1551,2171,1990,1917,1258,1574,2097,1865,1919,1638,1236,1496,23702,1014,3582,839,1251,1792,1481,1625,1176,1388,2035,1732,1769,1508,1095,1415,1166,176,403,21,4,128,58,156,48,99,8,0,9,0,0,56,1289,104,128,8,270,180,217,85,29,67,54,14,54,37,42,0,973,50,88,33,26,71,234,51,5,8,0,103,87,93,99,25,28,0,0,0,0,0,0,0,0,12,0,16,0,0,0,0
"Horry County, South Carolina","45051",307568,13132,43212,7104,17635,19790,17890,17621,18239,19001,21169,22485,24198,25261,17930,22901,258379,10674,36243,5047,12104,14539,14375,14419,15389,16438,18576,19093,21196,22668,16680,20938,28604,1757,4970,788,3869,3626,2276,2124,1732,1544,1105,1443,964,807,554,1045,4517,127,564,317,479,581,210,438,268,147,260,315,358,338,20,95,14864,568,1328,947,1095,920,919,585,838,822,1046,1534,1570,1266,635,791,1204,6,107,5,88,124,110,55,12,50,182,100,110,182,41,32
"Kershaw County, South Carolina","45055",63030,2935,11304,1372,3572,3722,3496,3117,4506,4092,4721,4619,4669,3881,2738,4286,58310,2636,10509,1334,3054,3067,3140,2885,4165,3758,4452,4418,4491,3716,2579,4106,2614,64,437,31,273,378,181,83,248,267,199,85,62,112,78,116,985,66,213,7,129,145,126,124,5,54,12,40,26,21,17,0,857,120,53,0,116,117,20,25,54,13,48,70,90,32,45,54,264,49,92,0,0,15,29,0,34,0,10,6,0,0,19,10
"Lee County, South Carolina","45061",17717,829,2799,364,1336,1240,1073,825,1215,1068,1321,1497,1146,976,807,1221,16421,770,2487,351,1204,1005,925,773,1170,1024,1278,1479,1093,907,773,1182,494,0,240,0,32,66,17,12,0,14,0,0,35,45,21,12,689,59,50,11,87,138,125,40,45,8,43,18,18,17,13,17,107,0,22,2,13,31,6,0,0,16,0,0,0,7,0,10,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Orangeburg County, South Carolina","45075",88299,4317,14855,2832,6951,5689,4787,4665,4373,5316,6300,5821,6472,5370,4073,6478,79777,3420,13023,2211,5812,4724,4230,4139,4098,5150,5842,5589,6258,5146,3894,6241,5305,788,1171,91,686,737,364,323,126,88,274,160,151,104,128,114,2126,85,330,444,342,130,160,143,79,62,155,50,19,75,13,39,841,24,186,66,94,98,33,51,68,6,29,8,44,38,38,58,250,0,145,20,17,0,0,9,2,10,0,14,0,7,0,26
