"","GEOID","B07204_001","B07204_002","B07204_003","B07204_004","B07204_005","B07204_006","B07204_007","B07204_008","B07204_009","B07204_010","B07204_011","B07204_012","B07204_013","B07204_014","B07204_015","B07204_016","B07204_017","B07204_018","B07204_019"
"Greenville County School District, South Carolina","4502310",499785,425538,70452,8957,8691,266,61495,33221,28274,12333,15941,3041,2520,8897,1483,3795,187,8,3600
"Greenwood School District 50, South Carolina","4502340",57751,48974,8713,1732,1732,0,6981,3641,3340,1981,1359,292,129,870,68,64,0,0,64
"Greenwood School District 51, South Carolina","4502370",6819,5846,973,29,26,3,944,62,882,764,118,7,8,103,0,0,0,0,0
"Horry County School District, South Carolina","4502490",307568,258379,47985,5034,5034,0,42951,23570,19381,4517,14864,5134,1648,7716,366,1204,87,0,1117
"Greenwood School District 52, South Carolina","4502400",7897,7172,725,45,45,0,680,361,319,150,169,49,4,116,0,0,0,0,0
"Hampton School District 1, South Carolina","4502430",12298,11579,719,299,299,0,420,220,200,96,104,0,49,17,38,0,0,0,0
"Hampton School District 2, South Carolina","4502460",7604,6688,888,284,284,0,604,158,446,78,368,32,26,286,24,28,0,0,28
"Jasper County School District, South Carolina","4502520",27158,23702,3428,316,316,0,3112,850,2262,1289,973,226,49,635,63,28,0,0,28
"Kershaw County School District, South Carolina","4502550",63030,58310,4456,305,305,0,4151,2309,1842,985,857,169,117,495,76,264,124,0,140
"Lancaster County School District, South Carolina","4502580",85557,75621,9709,953,953,0,8756,4269,4487,1525,2962,495,178,2186,103,227,2,11,214
"Laurens School District 55, South Carolina","4502610",36440,31027,5395,1019,1019,0,4376,2496,1880,1568,312,208,11,93,0,18,0,0,18
"Laurens School District 56, South Carolina","4502640",21313,17878,3323,897,897,0,2426,1204,1222,912,310,37,3,230,40,112,0,0,112
"Lee County School District, South Carolina","4502670",17717,16421,1290,46,46,0,1244,448,796,689,107,33,43,23,8,6,0,0,6
"Lexington School District 1, South Carolina","4502700",134473,115786,17918,1107,1107,0,16811,9768,7043,4234,2809,765,353,1572,119,769,0,101,668
"Lexington School District 2, South Carolina","4502730",63823,52729,10759,1150,1150,0,9609,4512,5097,3143,1954,366,472,964,152,335,3,16,316
"Lexington School District 3, South Carolina","4502760",13601,11725,1841,703,681,22,1138,409,729,398,331,67,0,162,102,35,0,11,24
"Lexington School District 4, South Carolina","4502790",18165,16256,1909,7,7,0,1902,1339,563,330,233,55,19,159,0,0,0,0,0
"Lexington School District 5, South Carolina","4502820",97740,85704,11791,623,623,0,11168,3476,7692,4778,2914,606,367,1698,243,245,0,0,245
