"","GEOID","B07009_001","B07009_002","B07009_003","B07009_004","B07009_005","B07009_006","B07009_007","B07009_008","B07009_009","B07009_010","B07009_011","B07009_012","B07009_013","B07009_014","B07009_015","B07009_016","B07009_017","B07009_018","B07009_019","B07009_020","B07009_021","B07009_022","B07009_023","B07009_024","B07009_025","B07009_026","B07009_027","B07009_028","B07009_029","B07009_030","B07009_031","B07009_032","B07009_033","B07009_034","B07009_035","B07009_036"
"Hampton School District 1, South Carolina","4502430",8431,1147,3727,2396,777,384,8006,1109,3533,2259,741,364,280,17,156,83,21,3,74,19,21,2,15,17,71,2,17,52,0,0,0,0,0,0,0,0
"Hampton School District 2, South Carolina","4502460",5489,1427,2317,1281,292,172,4850,1209,2044,1166,266,165,241,42,159,40,0,0,67,0,16,38,13,0,303,148,98,37,13,7,28,28,0,0,0,0
"Jasper County School District, South Carolina","4502520",19161,4057,6692,5572,1894,946,17016,3844,5976,4782,1644,770,562,88,203,209,35,27,779,110,214,311,90,54,776,15,287,254,125,95,28,0,12,16,0,0
"Kershaw County School District, South Carolina","4502550",43847,6101,16033,12752,5489,3472,40777,5776,14977,11615,5172,3237,1809,243,675,708,119,64,570,39,195,167,114,55,568,27,176,186,63,116,123,16,10,76,21,0
"Lancaster County School District, South Carolina","4502580",61355,8825,20171,16981,10066,5312,54844,7913,18395,15187,8673,4676,3315,646,1112,881,385,291,877,124,304,261,157,31,2152,81,330,594,845,302,167,61,30,58,6,12
"Laurens School District 55, South Carolina","4502610",25641,4901,9059,8091,2515,1075,22312,4121,7830,7022,2351,988,2096,564,797,638,53,44,1010,164,354,375,92,25,205,52,69,47,19,18,18,0,9,9,0,0
"Laurens School District 56, South Carolina","4502640",14289,3095,4784,3992,1382,1036,12496,2632,4077,3691,1236,860,1164,330,585,164,50,35,414,87,61,129,83,54,178,28,42,8,13,87,37,18,19,0,0,0
"Lee County School District, South Carolina","4502670",12389,2760,5260,2929,979,461,11609,2546,4939,2735,941,448,222,69,56,89,2,6,482,145,239,62,29,7,70,0,26,37,7,0,6,0,0,6,0,0
"Lexington School District 1, South Carolina","4502700",91327,8899,25812,28117,18576,9923,79980,7432,22805,24578,16287,8878,6324,995,1527,2091,1258,453,2714,237,835,754,539,349,1780,152,537,610,350,131,529,83,108,84,142,112
"Lexington School District 2, South Carolina","4502730",44943,5919,14042,13928,7363,3691,38694,4946,12274,11838,6341,3295,3385,556,1035,1094,525,175,1587,166,477,619,226,99,1029,124,218,309,256,122,248,127,38,68,15,0
"Lexington School District 3, South Carolina","4502760",9271,1774,3580,2398,966,553,8305,1654,3201,2133,874,443,412,88,178,88,23,35,219,21,77,80,30,11,312,0,112,97,39,64,23,11,12,0,0,0
"Lexington School District 4, South Carolina","4502790",11890,2682,4889,3241,839,239,10904,2457,4543,2882,793,229,601,167,221,213,0,0,206,55,60,82,1,8,179,3,65,64,45,2,0,0,0,0,0,0
"Lexington School District 5, South Carolina","4502820",68159,3202,13867,21095,19003,10992,60379,2765,11899,18438,17288,9989,2779,134,876,871,484,414,3045,156,738,1077,773,301,1801,123,332,663,406,277,155,24,22,46,52,11
