"","GEOID","B07001_001","B07001_002","B07001_003","B07001_004","B07001_005","B07001_006","B07001_007","B07001_008","B07001_009","B07001_010","B07001_011","B07001_012","B07001_013","B07001_014","B07001_015","B07001_016","B07001_017","B07001_018","B07001_019","B07001_020","B07001_021","B07001_022","B07001_023","B07001_024","B07001_025","B07001_026","B07001_027","B07001_028","B07001_029","B07001_030","B07001_031","B07001_032","B07001_033","B07001_034","B07001_035","B07001_036","B07001_037","B07001_038","B07001_039","B07001_040","B07001_041","B07001_042","B07001_043","B07001_044","B07001_045","B07001_046","B07001_047","B07001_048","B07001_049","B07001_050","B07001_051","B07001_052","B07001_053","B07001_054","B07001_055","B07001_056","B07001_057","B07001_058","B07001_059","B07001_060","B07001_061","B07001_062","B07001_063","B07001_064","B07001_065","B07001_066","B07001_067","B07001_068","B07001_069","B07001_070","B07001_071","B07001_072","B07001_073","B07001_074","B07001_075","B07001_076","B07001_077","B07001_078","B07001_079","B07001_080","B07001_081","B07001_082","B07001_083","B07001_084","B07001_085","B07001_086","B07001_087","B07001_088","B07001_089","B07001_090","B07001_091","B07001_092","B07001_093","B07001_094","B07001_095","B07001_096"
"Saluda County School District, South Carolina","4503460",15397,801,2570,561,742,738,879,1139,1016,747,1157,1139,917,883,792,1316,14542,693,2533,475,607,649,874,1123,962,645,1112,1088,880,827,778,1296,442,66,26,60,89,47,5,9,30,33,18,19,15,12,0,13,117,0,0,0,0,0,0,7,9,0,26,19,15,20,14,7,208,42,11,0,17,25,0,0,15,69,1,13,0,15,0,0,88,0,0,26,29,17,0,0,0,0,0,0,7,9,0,0
"Spartanburg School District 1, South Carolina","4503480",29674,978,5120,460,1490,1571,1216,1813,2026,1962,2216,2617,2252,2323,1430,2200,26372,807,4510,414,1201,1255,1030,1642,1520,1755,1967,2470,2186,2153,1401,2061,2192,110,339,20,256,187,133,138,300,141,194,67,55,115,29,108,595,42,189,0,8,115,51,10,34,5,2,68,0,47,0,24,492,19,82,26,25,3,2,23,172,61,41,12,11,8,0,7,23,0,0,0,0,11,0,0,0,0,12,0,0,0,0,0
"Spartanburg School District 2, South Carolina","4503510",59082,2743,10023,2284,4377,3247,3056,3704,4179,4106,4440,4189,3163,3566,2433,3572,51662,2470,8896,1650,3295,2684,2629,3085,3638,3747,4051,3588,2964,3234,2345,3386,4414,166,829,330,660,305,181,385,282,227,198,323,145,206,60,117,1455,62,152,197,257,141,125,140,214,53,25,35,14,16,24,0,1229,45,122,97,101,117,121,94,45,79,80,181,40,34,4,69,322,0,24,10,64,0,0,0,0,0,86,62,0,76,0,0
"Spartanburg School District 4, South Carolina","4503570",19867,1099,3551,524,1170,1328,1380,1320,1189,1248,1485,1143,1266,1232,783,1149,16053,525,2920,387,877,773,867,992,968,986,1408,1104,1220,1132,766,1128,2013,307,461,51,230,354,147,132,95,64,31,14,29,60,17,21,1241,196,106,0,63,162,327,122,83,116,46,14,3,3,0,0,523,71,64,78,0,21,39,74,32,82,0,11,14,37,0,0,37,0,0,8,0,18,0,0,11,0,0,0,0,0,0,0
"Spartanburg School District 5, South Carolina","4503600",45051,2579,8416,834,3028,3239,3116,3155,2775,3284,2929,2998,2644,1995,1708,2351,38726,2021,7188,603,2276,2245,2561,2699,2409,2985,2727,2807,2511,1939,1631,2124,3621,402,569,82,424,781,340,222,211,125,89,95,44,25,39,173,1181,26,171,58,162,96,132,110,124,95,74,35,53,9,24,12,1441,130,488,75,118,117,83,124,31,79,39,58,36,13,14,36,82,0,0,16,48,0,0,0,0,0,0,3,0,9,0,6
"Spartanburg School District 6, South Carolina","4503630",66076,3256,12415,1740,5109,5232,4462,4139,3739,4666,4715,4445,3447,3066,2115,3530,54678,2275,10536,1462,2944,3509,3595,3326,3298,4067,4067,4042,3253,2967,2024,3313,7971,873,1543,172,1350,1130,610,557,291,440,455,245,96,41,66,102,1713,47,96,103,486,367,152,73,49,35,140,76,57,15,0,17,1545,53,240,3,322,149,96,173,101,124,53,82,41,43,25,40,169,8,0,0,7,77,9,10,0,0,0,0,0,0,0,58
"Spartanburg School District 7, South Carolina","4503660",50956,2945,7914,1640,3828,3726,3049,2745,2627,3213,3338,3350,3305,2742,2149,4385,41500,2198,6384,1104,2577,2642,2286,2038,2163,2575,2936,3064,3052,2489,2018,3974,6135,481,1026,169,843,688,537,384,355,453,252,237,209,138,105,258,1837,181,368,229,233,136,101,129,36,95,100,24,26,77,17,85,1365,85,136,120,175,196,110,194,73,90,50,25,18,28,9,56,119,0,0,18,0,64,15,0,0,0,0,0,0,10,0,12
"Union County School District, South Carolina","4503750",27472,1212,4415,524,1635,1596,1382,1525,1741,1861,2088,2028,2167,1837,1245,2216,24131,949,3728,458,1288,1130,1193,1254,1528,1664,1937,1890,2104,1783,1160,2065,2363,180,519,51,200,268,131,245,164,161,117,125,24,30,37,111,892,83,163,15,131,180,53,16,47,26,27,11,37,20,48,35,57,0,5,0,2,18,0,0,2,10,7,2,2,4,0,5,29,0,0,0,14,0,5,10,0,0,0,0,0,0,0,0
"Williamsburg County School District, South Carolina","4503780",32046,1441,5296,710,2049,1928,1916,2130,1579,2079,2143,2532,2302,2074,1584,2283,29358,1256,4847,593,1780,1668,1665,1934,1354,1882,2061,2384,2199,1995,1556,2184,1440,54,268,83,170,102,57,72,125,151,63,92,64,43,19,77,785,103,154,11,64,72,120,35,82,46,19,38,25,11,0,5,271,28,27,23,35,34,36,32,18,0,0,18,14,6,0,0,192,0,0,0,0,52,38,57,0,0,0,0,0,19,9,17
"York School District 1, South Carolina","4503810",32197,1624,5315,828,1954,1947,2286,1721,2164,2612,2609,2235,2011,1845,1200,1846,29339,1503,4816,753,1668,1628,1963,1629,1874,2390,2479,2139,1842,1804,1147,1704,1710,90,407,66,162,113,193,82,206,91,34,60,134,12,14,46,235,0,42,9,55,20,16,1,35,21,29,0,0,0,0,7,895,31,48,0,69,172,114,9,49,108,67,36,35,29,39,89,18,0,2,0,0,14,0,0,0,2,0,0,0,0,0,0
"York School District 2, South Carolina","4503840",39641,1954,7929,912,1790,2103,2348,2490,2798,3245,3128,2806,2632,2165,1324,2017,33735,1553,6712,811,1327,1605,1666,2030,2529,2792,2685,2451,2292,2102,1311,1869,2765,254,726,81,255,254,310,193,162,169,66,109,40,36,0,110,458,29,63,20,26,61,95,5,13,52,40,12,22,20,0,0,2538,118,416,0,182,170,265,243,94,232,328,196,236,7,13,38,145,0,12,0,0,13,12,19,0,0,9,38,42,0,0,0
"York School District 3, South Carolina","4503870",115074,5834,18912,3600,9254,8561,7517,7517,7829,7201,7360,7466,7535,6027,4036,6425,97195,4703,16327,2529,5839,6194,6194,6520,6737,6320,6612,6968,6944,5461,3849,5998,10663,695,1590,403,2039,1292,821,570,596,567,577,281,414,373,136,309,4082,293,594,535,1026,683,298,101,246,65,33,40,23,53,25,67,2830,132,393,119,291,317,179,282,235,234,138,177,124,140,18,51,304,11,8,14,59,75,25,44,15,15,0,0,30,0,8,0
