"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Dorchester School District 2, South Carolina","4502010",133611,8221,26296,11329,18385,18703,19079,7988,3553,4134,10408,5515,62019,6901,16944,6247,8305,6918,6195,2192,1199,1285,3686,2147,62379,1262,8583,4508,8550,9643,11231,5127,2039,2454,6086,2896,2344,39,238,277,575,303,426,216,25,135,90,20,6869,19,531,297,955,1839,1227,453,290,260,546,452
"Edgefield County School District, South Carolina","4502070",26620,1070,3947,2263,3249,3597,3908,1976,902,1119,2832,1757,11935,495,1668,1049,1545,1277,1624,883,461,517,1392,1024,13371,575,2263,1148,1428,1822,2094,1035,407,516,1370,713,260,0,4,6,52,81,53,26,0,19,19,0,1054,0,12,60,224,417,137,32,34,67,51,20
"Fairfield County School District, South Carolina","4502100",22868,1100,3474,1869,2306,2565,3401,1769,934,1153,2643,1654,18878,1013,3153,1776,1907,2099,2581,1422,723,909,2009,1286,3517,87,262,89,260,433,641,317,200,244,619,365,79,0,0,0,18,0,8,30,11,0,12,0,394,0,59,4,121,33,171,0,0,0,3,3
"Florence School District 1, South Carolina","4502130",99654,6357,16792,9371,12886,12504,14021,6493,2808,3670,8872,5880,69932,5993,13936,6864,8602,8448,8300,3897,1842,2393,5914,3743,25977,352,2577,2155,3610,3476,4973,2291,846,1137,2604,1956,674,12,72,103,152,142,123,56,6,0,0,8,3071,0,207,249,522,438,625,249,114,140,354,173
"Florence School District 2, South Carolina","4502160",7306,446,1568,571,716,964,718,483,201,290,851,498,6221,367,1456,519,628,746,491,380,197,268,716,453,931,79,112,52,88,123,192,93,4,22,121,45,5,0,0,0,0,0,0,5,0,0,0,0,149,0,0,0,0,95,35,5,0,0,14,0
"Georgetown County School District, South Carolina","4502280",61065,2928,9037,4310,5693,6294,7677,4642,1827,3294,9669,5694,37231,2724,7249,3263,3721,3671,4498,2721,988,1743,4330,2323,21883,204,1732,982,1601,2311,2836,1807,747,1470,5020,3173,439,0,11,0,32,54,101,52,16,48,43,82,1512,0,45,65,339,258,242,62,76,33,276,116
"Florence School District 3, South Carolina","4502190",19789,1398,3868,1545,2791,2159,2393,1199,462,623,2163,1188,16939,1374,3379,1304,2276,1676,1952,1003,431,540,1976,1028,2439,19,480,226,331,388,395,161,31,83,165,160,83,0,0,0,0,24,27,13,0,0,19,0,328,5,9,15,184,71,19,22,0,0,3,0
"Florence School District 4, South Carolina","4502220",6414,261,1138,613,705,882,763,362,309,337,623,421,5468,242,1096,546,480,714,646,296,288,287,498,375,754,19,42,67,117,136,98,66,21,50,92,46,43,0,0,0,0,24,19,0,0,0,0,0,149,0,0,0,108,8,0,0,0,0,33,0
"Florence School District 5, South Carolina","4502250",5374,360,1222,404,438,838,413,408,93,392,531,275,4726,338,1155,356,374,673,299,393,89,325,503,221,565,22,44,44,56,132,108,15,4,67,28,45,0,0,0,0,0,0,0,0,0,0,0,0,83,0,23,4,8,33,6,0,0,0,0,9
"Greenville County School District, South Carolina","4502310",506550,32761,86696,45900,70004,66369,68937,33238,12360,16897,44132,29256,268095,28454,61665,24029,34045,28398,28457,14582,5724,7887,20497,14357,192501,3719,21135,18129,26484,27811,31940,15726,5690,7896,20671,13300,5867,146,782,660,763,1267,944,380,181,287,292,165,40087,442,3114,3082,8712,8893,7596,2550,765,827,2672,1434
