"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Georgia","13",7646507,1275324,6371183,1358337,694672,1057621,856659,858639,583008,231572,730675,3735965,687083,3048882,757227,376753,525623,419477,404828,249723,90615,224636,2920230,384818,2535412,449959,221662,358187,326265,365214,274919,118313,420893,106095,17838,88257,17859,7579,13341,10979,13000,8587,3749,13163,884217,185585,698632,133292,88678,160470,99938,75597,49779,18895,71983
"Hawaii","15",1110814,136394,974420,168883,86681,151032,143512,155117,107328,40859,121008,547856,71208,476648,85718,43012,71049,70508,79584,54990,20276,51511,294765,27943,266822,38471,19000,37945,34376,40714,32796,13661,49859,32675,4864,27811,4952,2425,4461,3682,4580,2967,1160,3584,235518,32379,203139,39742,22244,37577,34946,30239,16575,5762,16054
"Idaho","16",1211314,139850,1071464,255466,120466,191354,153343,143369,88011,32570,86885,470231,57595,412636,106229,44954,71553,59854,57234,33211,11986,27615,640862,65263,575599,128509,64225,100665,80099,77488,51011,19218,54384,12848,1900,10948,2783,1491,1816,1538,1345,740,354,881,87373,15092,72281,17945,9796,17320,11852,7302,3049,1012,4005
"Illinois","17",10259962,1423223,8836739,1749072,840825,1414274,1124736,1214453,878056,373564,1241759,6328118,902449,5425669,1143261,502740,823250,686429,769930,561147,235783,703129,2122501,206064,1916437,341072,178635,276380,215903,252488,195741,88840,367378,115432,15634,99798,22557,11928,16481,11981,13028,9034,3369,11420,1693911,299076,1394835,242182,147522,298163,210423,179007,112134,45572,159832
"Indiana","18",5159680,644089,4515591,966695,475739,784125,653585,664575,412687,153428,404757,3319751,412658,2907093,630774,304183,499816,433376,444137,269802,97365,227640,1533335,169406,1363929,284113,143275,230334,184671,192265,126698,49879,152694,33080,4666,28414,6302,2738,4161,4127,3968,2707,997,3414,273514,57359,216155,45506,25543,49814,31411,24205,13480,5187,21009
"Iowa","19",2446953,191176,2255777,462743,225602,375161,339360,361887,218623,76357,196044,1708370,121439,1586931,311989,158524,265294,243376,266990,159420,53862,127476,603849,47494,556355,125535,56278,86520,75298,80365,52380,19688,60291,12421,1322,11099,2587,1242,1878,1804,1314,924,414,936,122313,20921,101392,22632,9558,21469,18882,13218,5899,2393,7341
"Kansas","20",2248282,223004,2025278,416475,200873,337822,294273,308260,188003,69684,209888,1210114,114644,1095470,235372,110173,184558,161988,174108,102798,35509,90964,844761,74514,770247,148236,72909,119792,104608,114492,75086,29785,105339,19250,2005,17245,3591,1397,2768,2671,2431,1657,681,2049,174157,31841,142316,29276,16394,30704,25006,17229,8462,3709,11536
"Kentucky","21",3491916,430869,3061047,750760,361739,539383,418146,406848,251567,91287,241317,2358815,287075,2071740,525546,252041,369376,286235,278263,166211,58348,135720,983716,117515,866201,198102,94074,142853,115254,115884,76944,29838,93252,23032,2940,20092,4201,2011,3460,3128,2750,2050,594,1898,126353,23339,103014,22911,13613,23694,13529,9951,6362,2507,10447
"Louisiana","22",3603211,533375,3069836,720526,357660,522901,390793,401156,266578,101721,308501,2732499,418296,2314203,567924,277891,399607,293204,295996,195498,73508,210575,688455,83776,604679,120992,62414,93985,76757,84513,59056,23314,83648,23204,3203,20001,4181,1846,2977,2627,3042,1836,1071,2421,159053,28100,130953,27429,15509,26332,18205,17605,10188,3828,11857
"Maine","23",1106979,85404,1021575,218255,115682,182540,149353,144992,93327,32573,84853,674944,54261,620683,138353,75548,115195,95158,88595,52770,17285,37779,379044,25730,353314,68736,34499,58163,47974,50321,36981,13666,42974,11764,924,10840,2200,1147,1842,1345,1794,1101,491,920,41227,4489,36738,8966,4488,7340,4876,4282,2475,1131,3180
"Maryland","24",4675864,553629,4122235,723415,315655,523666,479031,579475,458576,206135,836282,1931275,269187,1662088,368598,144283,228197,208916,245739,177035,70391,218929,1927186,167785,1759401,242034,111261,181484,178310,237811,211818,106328,490355,63027,7872,55155,9869,3726,5578,5133,6796,6216,3346,14491,754376,108785,645591,102914,56385,108407,86672,89129,63507,26070,112507
"Massachusetts","25",5403605,552508,4851097,944404,441404,656641,554259,659003,514141,230986,850259,3145636,316768,2828868,555796,262121,384684,324923,400030,316093,142891,442330,1185945,94893,1091052,193700,79982,116388,107609,138704,119725,58325,276619,144363,19055,125308,39955,18094,19574,13322,12894,7675,3011,10783,927661,121792,805869,154953,81207,135995,108405,107375,70648,26759,120527
"Michigan","26",7992017,1037496,6954521,1599791,748081,1150078,910515,937705,616554,258926,732871,5858737,768552,5090185,1190307,543709,836225,677872,707224,460583,190763,483502,1521141,152752,1368389,295352,148984,227398,175051,176920,119298,50827,174559,54235,8237,45998,11158,5329,7423,5527,6300,3885,1441,4935,557904,107955,449949,102974,50059,79032,52065,47261,32788,15895,69875
"Minnesota","27",4252629,353529,3899100,754166,350185,579323,521544,609547,418608,167913,497814,2747640,213251,2534389,491447,232817,377230,346011,413504,282526,108121,282733,1127878,83386,1044492,188614,86062,143187,128194,155814,112941,50347,179333,26785,3128,23657,4863,2129,3451,3170,3125,2558,1045,3316,350326,53764,296562,69242,29177,55455,44169,37104,20583,8400,32432
"Mississippi","28",2343595,372370,1971225,504949,256748,357766,265957,251887,144715,49474,139729,1604409,259005,1345404,364012,186581,249442,181440,165131,90885,28918,78995,665485,97781,567704,129608,62207,94893,76549,79338,49857,18894,56358,12791,1852,10939,1845,1328,1864,1802,1667,932,449,1052,60910,13732,47178,9484,6632,11567,6166,5751,3041,1213,3324
"Missouri","29",4811030,525437,4285593,934877,464747,745856,615754,615629,372187,139621,396922,2986037,333931,2652106,596584,291861,463560,388888,386452,228729,82912,213120,1577756,147291,1430465,294983,150471,241145,198051,205269,129131,51124,160291,33599,3946,29653,6235,3516,4646,3918,4472,2466,874,3526,213638,40269,173369,37075,18899,36505,24897,19436,11861,4711,19985
"Montana","30",806822,72189,734633,162351,82283,134776,106937,105303,60362,23410,59211,396282,38149,358133,82136,40781,64919,53952,51859,28136,10612,25738,385521,30462,355059,75283,38902,65389,49608,51015,30651,12226,31985,6749,729,6020,1288,627,1125,972,855,576,121,456,18270,2849,15421,3644,1973,3343,2405,1574,999,451,1032
"Nebraska","31",1444616,115395,1329221,273059,134754,220657,201766,205709,123594,45056,124626,886927,62168,824759,170788,84046,134711,126409,132550,78054,27867,70334,442526,33364,409162,81830,40844,63726,56848,61243,40637,15291,48743,11342,953,10389,2007,867,1581,1678,1757,969,483,1047,103821,18910,84911,18434,8997,20639,16831,10159,3934,1415,4502
"Nevada","32",2151497,320749,1830748,320974,176323,314906,281015,276784,176950,73121,210675,283539,72806,210733,56931,19406,32159,27635,29495,18641,7270,19196,1333784,154663,1179121,189315,110686,189156,164900,185486,126772,54454,158352,38463,5730,32733,5302,2568,5369,4928,5584,3519,1290,4173,495711,87550,408161,69426,43663,88222,83552,56219,28018,10107,28954
"New Hampshire","33",1086392,99465,986927,175926,87750,147484,130030,151902,106738,43040,144057,393661,40665,352996,73913,35888,56523,51871,55665,35737,12807,30592,614936,47394,567542,90677,46112,80127,69023,87187,65238,27701,101477,12486,1370,11116,2400,1038,1876,1274,1536,1085,390,1517,65309,10036,55273,8936,4712,8958,7862,7514,4678,2142,10471
"New Jersey","34",7107327,994852,6112475,1050157,518804,863848,703448,794523,658578,294446,1228671,3250778,483175,2767603,549161,223775,353725,310738,374644,319125,138867,497568,1904522,190435,1714087,239845,129796,217637,179239,217157,190697,90039,449677,197579,30463,167116,39870,20717,28379,22173,20158,13921,5624,16274,1754448,290779,1463669,221281,144516,264107,191298,182564,134835,59916,265152
"New Mexico","35",1627189,248325,1378864,317420,158430,239161,183072,181003,113641,45326,140811,739593,132024,607569,161857,72491,104359,83645,79501,45751,17368,42597,679936,73585,606351,113771,62229,98231,76736,85239,58319,24336,87490,19173,2844,16329,3313,1633,2294,2367,2479,1556,749,1938,188487,39872,148615,38479,22077,34277,20324,13784,8015,2873,8786
