"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Jackson Township School District, New Jersey","3407740",37270,36637,41084,33100,33359
"Jersey City School District, New Jersey","3407830",32671,26898,45298,22392,33090
"Kearny Town School District, New Jersey","3407890",30514,33105,31186,25577,28872
"Keyport Borough School District, New Jersey","3407950",30208,32440,29762,28563,25365
"Kinnelon Borough School District, New Jersey","3408040",55777,51817,75429,34706,63250
"Lakewood Township School District, New Jersey","3408220",22477,21099,26285,18237,20609
"Leonia Borough School District, New Jersey","3408520",40444,38229,44091,54167,37643
"Linden City School District, New Jersey","3408610",30534,30575,33517,19896,30582
"Lindenwold Borough School District, New Jersey","3408640",24739,24307,27211,30156,19674
"Livingston Township School District, New Jersey","3408820",60185,50528,74529,123177,66753
"Lodi Borough School District, New Jersey","3408850",30759,29867,33894,10248,31340
"Long Branch City School District, New Jersey","3408940",27677,30874,33106,30259,22839
"Pennsville Township School District, New Jersey","3409120",31558,33342,30930,23077,27096
"Old Bridge Township School District, New Jersey","3409270",41749,39509,46852,41214,40818
