"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Marietta City School District, Georgia","1303510",57558,10931,6079,40548,21533,4085,2133,15315,23679,3676,2211,17792,954,98,239,617,11392,3072,1496,6824
"Marion County School District, Georgia","1303540",8439,1952,1021,5466,6442,1639,883,3920,1656,237,114,1305,103,38,14,51,238,38,10,190
"McDuffie County School District, Georgia","1303570",21177,5503,2127,13547,15877,4301,1785,9791,4532,798,329,3405,273,147,0,126,495,257,13,225
"Meriwether County School District, Georgia","1303630",20866,4735,2576,13555,17428,4198,2241,10989,3037,384,296,2357,171,60,19,92,230,93,20,117
"Miller County School District, Georgia","1303660",5705,1332,695,3678,4624,1122,549,2953,1006,179,146,681,67,31,0,36,8,0,0,8
"Mitchell County School District, Georgia","1303690",16680,4439,1878,10363,14188,3858,1508,8822,2070,362,314,1394,15,0,3,12,407,219,53,135
"Monroe County School District, Georgia","1303720",25637,3415,2569,19653,18778,2705,2009,14064,6038,643,451,4944,170,0,51,119,651,67,58,526
"Montgomery County School District, Georgia","1303750",7971,1570,771,5630,6309,1190,665,4454,1133,256,66,811,35,6,0,29,494,118,40,336
"Morgan County School District, Georgia","1303780",17775,2374,1421,13980,13207,2002,1110,10095,4189,297,310,3582,102,1,1,100,277,74,0,203
"Murray County School District, Georgia","1303840",38941,7026,4991,26924,26110,5071,3313,17726,9677,1437,1467,6773,200,10,2,188,2954,508,209,2237
"Muscogee County School District, Georgia","1303870",183430,40839,19122,123469,103868,26916,12232,64720,64030,11063,5895,47072,4750,790,258,3702,10782,2070,737,7975
"Newton County School District, Georgia","1303930",103499,17328,9894,76277,65215,12106,6367,46742,30496,4065,2761,23670,1723,326,88,1309,6065,831,678,4556
"Oconee County School District, Georgia","1303960",35713,2476,1953,31284,20528,1453,1108,17967,12182,661,370,11151,882,46,280,556,2121,316,195,1610
"Oglethorpe County School District, Georgia","1303990",14488,2543,1621,10324,10545,1922,1321,7302,3461,476,233,2752,158,22,21,115,324,123,46,155
"Paulding County School District, Georgia","1304020",151357,14716,12662,123979,84532,8404,7083,69045,57217,5370,4724,47123,1454,122,108,1224,8154,820,747,6587
"Peach County School District, Georgia","1304050",25043,4685,2876,17482,17993,3568,2300,12125,5504,830,479,4195,204,18,0,186,1342,269,97,976
"Pelham City School District, Georgia","1304080",3421,999,679,1743,3078,967,562,1549,313,23,96,194,0,0,0,0,30,9,21,0
"Pickens County School District, Georgia","1304110",30101,2964,2609,24528,19180,2206,1927,15047,9815,725,537,8553,222,33,35,154,884,0,110,774
