"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Bibb County School District, Georgia","1300420",99658,14868,32104,27422,14848,10416,71463,11835,25081,19657,9024,5866,23061,2066,5908,6642,4800,3645,697,93,75,257,162,110,4437,874,1040,866,862,795
"Bleckley County School District, Georgia","1300440",8035,1214,3397,2043,748,633,6279,1004,2739,1474,599,463,1576,138,630,532,139,137,26,0,0,15,0,11,154,72,28,22,10,22
"Brantley County School District, Georgia","1300480",12397,2271,5982,3172,543,429,7596,1538,3948,1522,336,252,4350,673,1821,1504,175,177,209,0,105,87,17,0,242,60,108,59,15,0
"Bremen City School District, Georgia","1300510",3911,379,1076,1311,562,583,2551,294,749,883,357,268,1258,71,255,412,205,315,38,0,38,0,0,0,64,14,34,16,0,0
"Brooks County School District, Georgia","1300540",11034,2149,4161,3226,1056,442,6896,1434,2641,1972,595,254,3462,428,1385,1114,389,146,82,28,15,30,0,9,594,259,120,110,72,33
"Bryan County School District, Georgia","1300570",21990,1875,5844,7137,4517,2617,9173,1168,3228,2916,1137,724,11094,560,2147,3685,3001,1701,353,24,74,202,47,6,1370,123,395,334,332,186
"Buford City School District, Georgia","1300600",9365,2338,2687,2228,1517,595,3449,665,1272,783,494,235,3219,367,854,1037,714,247,80,16,0,33,16,15,2617,1290,561,375,293,98
"Bulloch County School District, Georgia","1300630",40497,5384,11028,12796,6282,5007,26139,3826,7883,8529,3583,2318,12068,1125,2851,3775,2291,2026,425,108,24,118,99,76,1865,325,270,374,309,587
"Burke County School District, Georgia","1300660",14663,2932,5430,4586,1046,669,10551,2318,4087,2903,732,511,3538,497,1103,1524,275,139,227,12,90,93,13,19,347,105,150,66,26,0
"Butts County School District, Georgia","1300690",16454,3739,7054,3929,1169,563,11752,2983,5318,2391,676,384,3703,512,1576,1165,376,74,336,30,20,170,24,92,663,214,140,203,93,13
"Calhoun City School District, Georgia","1300720",10256,2989,2675,2786,990,816,4874,1031,1497,1405,505,436,2712,365,729,952,358,308,118,38,49,20,11,0,2552,1555,400,409,116,72
"Calhoun County School District, Georgia","1300750",4864,1251,1950,1204,290,169,3676,938,1461,940,189,148,925,258,368,201,77,21,9,0,0,9,0,0,254,55,121,54,24,0
"Camden County School District, Georgia","1300780",32402,2741,10108,11907,4836,2810,8632,974,3264,2701,1059,634,21241,1327,6361,8423,3325,1805,814,58,94,339,201,122,1715,382,389,444,251,249
"Candler County School District, Georgia","1300810",7228,1757,2545,1884,681,361,5187,1202,1859,1333,547,246,1519,304,569,474,81,91,56,30,6,0,0,20,466,221,111,77,53,4
"Carroll County School District, Georgia","1300840",58264,9996,21312,16878,6644,3434,35883,6883,13986,9576,3778,1660,19687,2476,6621,6418,2579,1593,710,42,226,325,73,44,1984,595,479,559,214,137
"Carrollton City School District, Georgia","1300870",13485,2522,3467,3506,2047,1943,7680,1380,2011,2220,1214,855,3976,408,955,1060,765,788,169,0,24,43,0,102,1660,734,477,183,68,198
"Cartersville City School District, Georgia","1300900",12953,2124,3992,3607,2181,1049,6926,1098,2207,1988,1072,561,4465,370,1370,1382,885,458,129,0,20,54,25,30,1433,656,395,183,199,0
"Catoosa County School District, Georgia","1300930",45081,6020,14487,15440,6169,2965,14378,2216,4928,5099,1397,738,28946,3386,9096,9855,4533,2076,412,12,188,128,61,23,1345,406,275,358,178,128
"Charlton County School District, Georgia","1300990",8975,2044,3809,2352,250,520,4463,989,2151,939,138,246,3317,592,1242,1210,100,173,115,30,40,45,0,0,1080,433,376,158,12,101
"Chatham County School District, Georgia","1301020",189667,20256,45712,60641,38595,24463,92683,12966,27214,29646,14529,8328,78227,4437,14303,26334,19992,13161,3287,181,697,1190,807,412,15470,2672,3498,3471,3267,2562
"Chattahoochee County School District, Georgia","1301050",1717,284,735,451,171,76,925,172,464,177,70,42,709,98,223,256,98,34,69,0,48,18,3,0,14,14,0,0,0,0
"Chattooga County School District, Georgia","1301080",15811,4180,6275,3782,913,661,11479,3056,4837,2731,458,397,4023,986,1410,987,415,225,42,0,12,23,2,5,267,138,16,41,38,34
"Cherokee County School District, Georgia","1301110",156284,14303,37466,48752,38336,17427,51741,5933,15166,15947,10623,4072,85174,3363,17545,28718,24140,11408,2159,29,563,742,544,281,17210,4978,4192,3345,3029,1666
"Chickamauga City School District, Georgia","1301140",1927,222,749,590,238,128,799,153,248,195,148,55,1071,69,501,350,84,67,17,0,0,17,0,0,40,0,0,28,6,6
"Clarke County School District, Georgia","1301170",68176,9091,14411,16535,14124,14015,32867,4851,9574,8753,5941,3748,24481,872,3230,6225,6825,7329,955,147,153,218,182,255,9873,3221,1454,1339,1176,2683
"Clay County School District, Georgia","1301200",2063,357,922,601,61,122,1309,298,583,346,20,62,741,55,339,246,41,60,4,4,0,0,0,0,9,0,0,9,0,0
"Clayton County School District, Georgia","1301230",168512,26810,55781,53768,21663,10490,67566,8996,25788,21876,7724,3182,65772,4711,19967,25441,10147,5506,2932,480,836,952,381,283,32242,12623,9190,5499,3411,1519
"Coweta County School District, Georgia","1301500",91386,10087,27383,27380,18032,8504,43505,6254,15229,12370,6527,3125,39342,2161,9447,13010,9818,4906,1369,222,387,333,320,107,7170,1450,2320,1667,1367,366
"Crawford County School District, Georgia","1301530",8781,1367,3246,3009,652,507,5967,1045,2308,2060,332,222,2371,296,838,845,187,205,194,3,35,60,32,64,249,23,65,44,101,16
"Colquitt County School District, Georgia","1301380",29544,7951,11304,6584,2089,1616,19375,4189,8191,4660,1480,855,5691,1066,1949,1557,521,598,269,40,97,90,35,7,4209,2656,1067,277,53,156
"Clinch County School District, Georgia","1301260",4475,1182,1530,1214,335,214,3273,760,1168,907,276,162,1000,276,349,269,54,52,9,9,0,0,0,0,193,137,13,38,5,0
"Cobb County School District, Georgia","1301290",451655,37350,85023,120797,135075,73410,110729,9410,27862,31888,28852,12717,241609,7600,38445,70022,81267,44275,8209,287,1206,2167,3395,1154,91108,20053,17510,16720,21561,15264
"Coffee County School District, Georgia","1301350",27849,6039,10618,7270,2373,1549,19083,3473,7563,5402,1612,1033,6362,1335,2349,1639,611,428,92,10,37,32,13,0,2312,1221,669,197,137,88
"Columbia County School District, Georgia","1301410",94536,7278,23361,31380,20098,12419,35497,3178,10810,11789,7129,2591,47604,2194,10350,16708,10846,7506,2313,225,487,797,465,339,9122,1681,1714,2086,1658,1983
"Commerce City School District, Georgia","1301440",4647,1050,1768,1228,356,245,2958,641,1334,629,194,160,1269,239,286,513,155,76,9,0,0,9,0,0,411,170,148,77,7,9
"Cook County School District, Georgia","1301470",11247,2391,4190,3001,1048,617,8174,1741,2998,2255,769,411,2479,471,1025,601,242,140,161,38,48,39,1,35,433,141,119,106,36,31
"Crisp County School District, Georgia","1301560",15148,2893,6134,4060,1286,775,12000,2245,4988,3202,996,569,2606,554,867,776,217,192,65,48,8,0,0,9,477,46,271,82,73,5
