"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Morgan County School District, Georgia","1303780",17741,1012,3286,1176,2092,2441,2787,1237,391,705,1528,1086,13289,991,2974,883,1636,1563,1895,840,290,358,998,861,3911,21,290,180,307,751,813,352,95,347,530,225,115,0,6,35,2,39,27,0,6,0,0,0,426,0,16,78,147,88,52,45,0,0,0,0
"Murray County School District, Georgia","1303840",39925,2969,7969,3535,5291,6382,5630,2202,826,1173,2517,1431,27064,2817,6535,2353,3095,3997,3077,1387,576,755,1511,961,9461,127,1136,676,1252,1325,2155,764,237,414,939,436,157,0,16,32,0,26,75,8,0,0,0,0,3243,25,282,474,944,1034,323,43,13,4,67,34
"Muscogee County School District, Georgia","1303870",175850,13125,32866,16761,23609,23358,25418,10657,3577,4650,11405,10424,94776,11077,22979,9732,11407,10649,10894,4967,1872,1991,4983,4225,67120,1885,8171,5720,9496,10275,12226,4651,1484,2329,5549,5334,5465,84,1253,720,979,751,854,460,69,57,118,120,8489,79,463,589,1727,1683,1444,579,152,273,755,745
"Newton County School District, Georgia","1303930",96801,7749,20490,8540,13236,15546,12552,5327,1775,2579,5416,3591,58565,7216,14349,4996,7544,7817,6304,2762,1021,1403,2841,2312,31378,525,5485,2689,4308,6162,5141,2167,570,992,2217,1122,1191,8,289,87,221,210,274,31,16,26,10,19,5667,0,367,768,1163,1357,833,367,168,158,348,138
"Oconee County School District, Georgia","1303960",31508,1844,7168,2336,2768,4997,5328,2230,718,912,1886,1321,19142,1620,5397,1693,1862,2306,2320,1068,375,575,1106,820,10287,211,1407,490,661,2213,2478,1038,304,277,720,488,346,0,47,35,41,64,159,0,0,0,0,0,1733,13,317,118,204,414,371,124,39,60,60,13
"Oglethorpe County School District, Georgia","1303990",14556,828,2715,1383,1464,1942,2455,807,436,598,1212,716,11300,799,2323,1015,1150,1324,1880,542,271,405,1003,588,2885,29,378,306,215,537,516,265,162,193,184,100,79,0,0,27,1,12,39,0,0,0,0,0,292,0,14,35,98,69,20,0,3,0,25,28
"Paulding County School District, Georgia","1304020",134875,11193,29945,10529,19611,24530,18643,6555,2121,2700,5729,3319,78453,10044,20750,6959,9890,11178,8879,3350,1021,1186,3120,2076,49382,1027,8369,2999,8022,11773,8558,2875,1020,1276,2367,1096,1629,0,168,134,493,403,347,42,22,11,0,9,5411,122,658,437,1206,1176,859,288,58,227,242,138
"Peach County School District, Georgia","1304050",26883,1708,4640,4401,2959,3316,3897,1865,558,557,1841,1141,19744,1612,3898,3577,2124,2125,2452,1294,362,312,1104,884,5602,96,545,702,514,826,1131,540,127,205,673,243,312,0,52,0,107,69,67,10,0,0,7,0,1225,0,145,122,214,296,247,21,69,40,57,14
"Pelham City School District, Georgia","1304080",3955,290,642,579,585,407,466,232,21,43,358,332,3435,290,636,505,509,346,356,174,10,32,294,283,424,0,6,74,49,44,69,58,11,0,64,49,31,0,0,0,27,0,4,0,0,0,0,0,65,0,0,0,0,17,37,0,0,11,0,0
"Pickens County School District, Georgia","1304110",29155,1711,4969,2088,3133,4402,4129,1922,1198,1198,2806,1599,19703,1583,4102,1562,2357,2760,2383,1132,646,575,1564,1039,8403,128,709,526,638,1271,1566,790,519,602,1114,540,158,0,34,0,22,56,20,0,13,13,0,0,891,0,124,0,116,315,160,0,20,8,128,20
"Pierce County School District, Georgia","1304140",18205,1197,3600,1440,2120,2574,2561,1233,456,567,1456,1001,13503,1187,2923,984,1436,1571,1821,811,317,493,1149,811,4185,0,642,415,594,754,677,422,139,74,278,190,144,10,7,41,0,86,0,0,0,0,0,0,373,0,28,0,90,163,63,0,0,0,29,0
"Pike County School District, Georgia","1304170",17411,1055,3672,1408,1947,2634,2558,1006,432,612,1263,824,12837,1034,3083,1078,1501,1795,1651,687,298,379,860,471,4265,21,512,330,412,814,854,285,134,210,355,338,126,0,50,0,5,2,36,0,0,23,10,0,183,0,27,0,29,23,17,34,0,0,38,15
"Polk County School District, Georgia","1304200",41095,3330,7497,3927,5082,5506,5795,2492,980,1079,3007,2400,31521,3186,6496,2801,3317,4011,3995,1970,755,874,2353,1763,6437,121,771,586,806,813,1327,395,215,205,599,599,240,3,0,19,111,21,64,0,10,0,12,0,2897,20,230,521,848,661,409,127,0,0,43,38
"Pulaski County School District, Georgia","1304220",11632,518,1833,1009,1520,1895,1614,634,526,643,852,588,9244,501,1581,910,1217,1352,1064,545,456,503,679,436,2274,17,241,68,295,510,550,89,70,140,164,130,22,0,0,14,8,0,0,0,0,0,0,0,92,0,11,17,0,33,0,0,0,0,9,22
"Putnam County School District, Georgia","1304260",20925,1172,3288,1722,2090,2626,3124,1820,697,882,2297,1207,14849,1139,2990,1285,1471,1818,1936,1195,527,562,1242,684,5086,33,298,224,523,665,866,542,170,284,965,516,97,0,0,0,0,23,17,0,0,15,42,0,893,0,0,213,96,120,305,83,0,21,48,7
"Quitman County School District, Georgia","1304290",2528,169,432,335,169,317,273,181,69,117,274,192,1380,137,332,143,42,154,158,103,26,61,130,94,1139,32,100,192,127,163,115,78,34,56,144,98,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0
"Rabun County School District, Georgia","1304320",16266,843,2593,1036,1634,2047,2330,1259,453,817,1872,1382,8992,786,1840,645,848,813,1142,739,161,345,947,726,6192,57,567,305,530,872,1155,511,267,415,873,640,95,0,0,0,0,43,21,0,17,0,14,0,987,0,186,86,256,319,12,9,8,57,38,16
"Randolph County School District, Georgia","1304350",7724,470,1244,1012,957,579,1152,617,259,128,703,603,6157,412,931,656,820,510,904,520,223,128,548,505,1414,58,313,263,123,69,227,97,36,0,147,81,7,0,0,7,0,0,0,0,0,0,0,0,146,0,0,86,14,0,21,0,0,0,8,17
"Richmond County School District, Georgia","1304380",198170,14717,34868,24766,28908,24156,27801,11948,3805,5250,12332,9619,118663,12946,26978,13873,13795,13064,15187,6391,2143,2654,6576,5056,67094,1454,6951,9284,12200,9265,10787,4761,1440,2225,4741,3986,4994,242,658,808,1059,823,968,259,22,47,93,15,7419,75,281,801,1854,1004,859,537,200,324,922,562
"Rockdale County School District, Georgia","1304410",83135,5654,16800,7519,9728,12765,12656,5171,1767,2606,4902,3567,42726,5123,10943,4559,3809,4779,5344,2285,748,1054,2282,1800,30152,510,4569,1899,3920,5654,5644,2310,877,1217,2119,1433,639,9,221,85,51,109,83,12,0,31,26,12,9618,12,1067,976,1948,2223,1585,564,142,304,475,322
"Rome City School District, Georgia","1304440",36257,2894,5942,4828,5242,3982,4610,1874,645,1006,2743,2491,23095,2603,4527,2910,2857,2025,2557,1306,376,540,1785,1609,8757,291,1129,1090,1025,1041,1508,402,201,404,842,824,159,0,0,38,12,60,12,28,0,0,0,9,4246,0,286,790,1348,856,533,138,68,62,116,49
"Schley County School District, Georgia","1304470",4755,367,1057,348,506,815,742,219,85,164,363,89,3596,326,886,263,413,539,612,164,61,95,187,50,984,41,149,85,67,170,114,55,24,64,176,39,25,0,0,0,0,4,16,0,0,5,0,0,150,0,22,0,26,102,0,0,0,0,0,0
"Screven County School District, Georgia","1304500",14799,965,2845,1446,1632,1874,2020,966,338,578,1198,937,12235,901,2543,1295,1378,1285,1596,780,284,433,976,764,2391,64,285,87,233,562,381,186,54,145,221,173,60,0,17,20,0,10,13,0,0,0,0,0,113,0,0,44,21,17,30,0,0,0,1,0
"Seminole County School District, Georgia","1304530",8797,494,1552,816,636,1137,1370,693,340,210,846,703,6599,452,1246,720,530,717,1057,513,259,98,506,501,2077,42,282,87,106,400,273,175,81,112,335,184,7,0,0,0,0,7,0,0,0,0,0,0,114,0,24,9,0,13,40,5,0,0,5,18
"Social Circle City School District, Georgia","1304540",4219,297,783,430,670,498,746,195,54,145,255,146,2822,247,702,276,341,335,393,131,33,98,152,114,1095,50,81,118,102,150,353,38,21,47,103,32,25,0,0,0,13,0,0,12,0,0,0,0,277,0,0,36,214,13,0,14,0,0,0,0
"Stephens County School District, Georgia","1304560",25876,1569,4361,2408,2816,3398,3730,1616,841,1010,2243,1884,17902,1489,3392,1667,1563,1972,2552,1178,528,788,1388,1385,7111,80,917,531,1008,1221,1120,420,313,222,823,456,108,0,14,79,0,15,0,0,0,0,0,0,755,0,38,131,245,190,58,18,0,0,32,43
