"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Hawthorne Borough School District, New Jersey","3406990",13147,1066,4435,3351,2797,1498,7658,233,2531,2099,1753,1042,2217,138,478,598,645,358,395,149,136,60,28,22,2877,546,1290,594,371,76
"Hi-Nella Borough School District, New Jersey","3407080",531,50,171,214,69,27,252,16,82,104,41,9,208,26,67,88,20,7,2,0,2,0,0,0,69,8,20,22,8,11
"Highland Park Borough School District, New Jersey","3407170",9430,488,1513,1382,2287,3760,2366,93,575,440,704,554,3634,113,329,539,899,1754,165,45,13,7,42,58,3265,237,596,396,642,1394
"Hillsborough Township School District, New Jersey","3407230",26480,1064,5412,5817,8643,5544,12283,412,2946,3064,3949,1912,7259,148,1420,1445,2558,1688,345,18,92,92,121,22,6593,486,954,1216,2015,1922
"Hillside Township School District, New Jersey","3407290",14340,2138,4650,4297,2170,1085,5495,390,1717,2196,944,248,2499,222,1102,565,358,252,407,110,47,145,93,12,5939,1416,1784,1391,775,573
"Ho-Ho-Kus Borough School District, New Jersey","3407320",2816,61,254,397,1279,825,1245,25,99,167,633,321,1057,8,75,145,462,367,15,0,0,15,0,0,499,28,80,70,184,137
"Hoboken City School District, New Jersey","3407350",39318,2767,3706,3651,18418,10776,14733,733,2028,1498,7515,2959,15042,202,732,1025,8428,4655,1901,1005,334,226,213,123,7642,827,612,902,2262,3039
"Holmdel Township School District, New Jersey","3407410",11271,638,1818,1896,3373,3546,3210,146,663,726,906,769,4585,194,692,833,1592,1274,141,46,35,15,11,34,3335,252,428,322,864,1469
"Hopatcong Borough School District, New Jersey","3407440",10736,681,3466,3317,2220,1052,6220,408,2029,2050,1213,520,2809,118,925,823,664,279,136,13,46,63,7,7,1571,142,466,381,336,246
"Hope Township School District, New Jersey","3407470",1323,61,360,452,298,152,858,29,257,312,206,54,335,30,55,100,79,71,25,0,20,2,0,3,105,2,28,38,13,24
"Hopewell Valley Regional School District, New Jersey","3407530",16176,678,1892,2399,4833,6374,7053,356,1175,1373,2342,1807,6722,164,589,669,2042,3258,106,1,7,44,15,39,2295,157,121,313,434,1270
"Interlaken Borough School District, New Jersey","3407650",652,17,109,99,198,229,408,9,73,73,117,136,209,6,32,20,66,85,2,0,0,0,2,0,33,2,4,6,13,8
"Irvington Township School District, New Jersey","3407680",35705,6233,13559,11197,3643,1073,12768,1609,4763,4735,1229,432,7630,1444,3161,2095,695,235,805,209,314,182,100,0,14502,2971,5321,4185,1619,406
"Jackson Township School District, New Jersey","3407740",38253,2614,12470,11243,7862,4064,18410,1173,6770,5215,3569,1683,15017,698,4462,4859,3072,1926,523,72,188,128,111,24,4303,671,1050,1041,1110,431
"Jamesburg Borough School District, New Jersey","3407770",3984,498,1503,1160,622,201,1925,207,666,644,360,48,1091,64,483,307,159,78,0,0,0,0,0,0,968,227,354,209,103,75
"Jefferson Township School District, New Jersey","3407800",14633,804,4199,3830,4061,1739,9276,402,2872,2544,2569,889,3421,95,853,780,1060,633,46,1,0,23,15,7,1890,306,474,483,417,210
"Jersey City School District, New Jersey","3407830",177924,26659,41682,33986,45621,29976,43248,5403,15273,10634,8323,3615,36997,3549,6986,8180,11205,7077,9397,3664,2807,1449,917,560,88282,14043,16616,13723,25176,18724
"Keansburg Borough School District, New Jersey","3407860",7191,1037,2870,2033,913,338,4313,561,1901,1193,516,142,1861,300,601,628,235,97,172,66,106,0,0,0,845,110,262,212,162,99
"Kearny Town School District, New Jersey","3407890",27976,5189,10291,6621,4060,1815,9352,963,3383,2493,1683,830,2300,343,657,734,467,99,1357,431,531,223,107,65,14967,3452,5720,3171,1803,821
"Kenilworth Borough School District, New Jersey","3407920",5524,742,1888,1425,1094,375,3195,256,1220,926,645,148,542,0,185,159,99,99,48,0,17,27,0,4,1739,486,466,313,350,124
"Keyport Borough School District, New Jersey","3407950",5296,698,1865,1237,931,565,2780,272,1005,824,399,280,1375,149,467,271,305,183,65,35,0,30,0,0,1076,242,393,112,227,102
"Kinnelon Borough School District, New Jersey","3408040",6971,222,1008,1399,2432,1910,3645,114,682,694,1239,916,2186,44,193,477,882,590,89,1,0,14,14,60,1051,63,133,214,297,344
"Lacey Township School District, New Jersey","3408100",19697,1281,7506,5854,3436,1620,13812,951,5518,4067,2313,963,4817,184,1655,1460,943,575,201,25,86,55,18,17,867,121,247,272,162,65
"Lakehurst Borough School District, New Jersey","3408160",1630,161,743,502,195,29,938,115,479,215,113,16,457,8,165,219,65,0,43,0,13,24,6,0,192,38,86,44,11,13
"Lakewood Township School District, New Jersey","3408220",43311,7503,13382,10948,6999,4479,11180,1376,4279,2984,1955,586,19459,1279,5764,5715,3585,3116,2046,607,515,408,289,227,10626,4241,2824,1841,1170,550
"Laurel Springs Borough School District, New Jersey","3408280",1305,64,495,360,252,134,689,19,299,190,121,60,511,41,180,149,82,59,4,0,0,0,0,4,101,4,16,21,49,11
"Lavallette Borough School District, New Jersey","3408310",1731,84,529,437,402,279,1271,40,411,305,313,202,431,44,105,124,81,77,0,0,0,0,0,0,29,0,13,8,8,0
"Lawnside Borough School District, New Jersey","3408340",1981,202,616,536,437,190,802,52,348,269,99,34,1011,121,240,218,297,135,9,0,0,5,0,4,159,29,28,44,41,17
"Lawrence Township School District (Cumberland County), New Jersey","3408370",2218,366,961,569,227,95,1591,208,777,365,202,39,374,54,122,149,12,37,60,43,5,12,0,0,193,61,57,43,13,19
"Lawrence Township School District (Mercer County), New Jersey","3408400",22296,1689,3773,5066,6415,5353,7610,378,1835,2050,2212,1135,6757,374,880,1393,2159,1951,391,101,105,117,34,34,7538,836,953,1506,2010,2233
"Leonia Borough School District, New Jersey","3408520",6393,366,1089,1124,2230,1584,935,31,158,243,206,297,1637,18,188,284,577,570,104,31,0,0,31,42,3717,286,743,597,1416,675
"Lincoln Park Borough School District, New Jersey","3408580",7923,544,2641,1897,1854,987,4282,167,1531,1021,1035,528,1882,188,505,511,480,198,222,63,28,99,0,32,1537,126,577,266,339,229
"Linden City School District, New Jersey","3408610",28965,4553,11137,8055,3496,1724,11695,1063,4971,3234,1742,685,4479,627,1806,1342,448,256,959,285,349,254,56,15,11832,2578,4011,3225,1250,768
"Lindenwold Borough School District, New Jersey","3408640",11679,2115,4359,3309,1360,536,4617,541,1867,1476,549,184,4189,602,1501,1303,597,186,234,27,115,52,32,8,2639,945,876,478,182,158
"Longport Borough School District, New Jersey","3408671",853,38,249,189,203,174,298,14,128,68,45,43,531,19,114,115,154,129,0,0,0,0,0,0,24,5,7,6,4,2
"Little Ferry Borough School District, New Jersey","3408760",7765,971,2407,1999,1703,685,2130,128,995,542,324,141,1189,36,327,501,177,148,195,52,72,57,0,14,4251,755,1013,899,1202,382
"Livingston Township School District, New Jersey","3408820",20315,628,2871,3012,7716,6088,8591,220,1565,1604,3366,1836,5230,46,594,521,2310,1759,199,6,66,10,63,54,6295,356,646,877,1977,2439
"Lodi Borough School District, New Jersey","3408850",16881,2623,5708,4648,2986,916,6378,792,2511,1706,1114,255,2277,216,763,687,429,182,487,144,227,43,53,20,7739,1471,2207,2212,1390,459
"Logan Township School District, New Jersey","3408880",4025,321,1332,1025,970,377,1637,49,693,355,426,114,2054,137,569,591,525,232,103,42,16,45,0,0,231,93,54,34,19,31
"Long Branch City School District, New Jersey","3408940",20615,3537,6796,4440,3876,1966,7792,588,2881,1845,1714,764,4436,298,1086,1025,1223,804,755,189,269,178,100,19,7632,2462,2560,1392,839,379
"Lopatcong Township School District, New Jersey","3409000",5318,429,1908,1209,1014,758,2744,252,1166,583,541,202,1837,88,568,411,315,455,59,0,14,45,0,0,678,89,160,170,158,101
"Lower Alloways Creek Township School District, New Jersey","3409030",1143,114,496,344,140,49,812,84,396,213,84,35,328,29,99,130,56,14,1,0,1,0,0,0,2,1,0,1,0,0
"Pennsville Township School District, New Jersey","3409120",9312,976,3782,2773,1350,431,5202,552,2476,1314,686,174,3544,304,1153,1303,538,246,140,20,45,32,43,0,426,100,108,124,83,11
